,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected
Distributors,OnOff Premises,Account Names,Address,City,State,Distributor,Item Names,Dist Routes,2 Quarters 4/1/2026 thru 7/20/2026  Case Equivs,2 Quarters 4/1/2026 thru 7/20/2026  Days Since Last Sale,2 Quarters 4/1/2026 thru 7/20/2026  Days Until Fall Off
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Neighborhood Beer 1/2 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",992.000003,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Easy Eddy 1/2 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",943.777779,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Citrus Surfer 1/2 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",675.111111,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Citrus Surfer Lime 1/2 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",440.888896,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Tigerhawk 2/12/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",248,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Summer Jam 1/2 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",220.444447,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Silo Amber 1/2 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",213.555559,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Tigerhawk 1/2 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",213.555557,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Easy Eddy 2/12/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",148,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Royal Eddy 1/2 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",137.77778,12,78
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Wild Eddy 1/2 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",130.888891,12,78
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Citrus Surfer 2/12/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",112,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Lupo 1/2 Barrel,"LOGSDON  N 501- Doll Dist - Des Moines, IA",110.222223,26,64
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Rainbow Connection 1/2 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",103.333335,40,50
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Strawberry Jam 1/2 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",96.444446,82,8
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Paper Sun Mexican Lager 1/2 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",96.444445,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Arms Race Pale Ale 1/2 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",89.555557,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Easy Going 1/2 Barrel,"LOGSDON  N 501- Doll Dist - Des Moines, IA",89.555557,8,82
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Patagonia Kernza Lager 1/2 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",82.666668,61,29
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Zero Eddy 2/12/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",67,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Neighborhood Beer 2/12/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",57,21,69
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Special Batch 1/2 Barrel,"LOGSDON  N 501- Doll Dist - Des Moines, IA",55.111112,12,78
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Easy Eddy 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",52,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Eddy Variety Pack 2/12/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",41,12,78
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Zero Eddy 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",40,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Sweet Spot Hard Iced Tea 6/4/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",40,12,78
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Neighborhood Beer 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",39,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Citrus Surfer Variety Pack 2/12/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",39,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Color TV 1/2 Barrel,"LOGSDON  N 501- Doll Dist - Des Moines, IA",34.444445,82,8
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Squeeze Grapefruit Paloma 6/4/12 oz,"LOGSDON  N 501- Doll Dist - Des Moines, IA",33,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Squeeze Citrus Spritz 6/4/12 oz,"LOGSDON  N 501- Doll Dist - Des Moines, IA",30,15,75
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",29,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Summer Jam 6/4/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",28,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Citrus Surfer Lime 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",24,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Royal Eddy 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",22,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Wild Eddy 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",19,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Rainbow Connection 6/4/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",18,33,57
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Sweet Spot Half and Half 6/4/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",17,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Moon Rabbit 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",16,54,36
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Silo Amber 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",16,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Triple Eddy 4/6/8oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",12.666667,21,69
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Eddy Variety Pack 2/12/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",11,83,7
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Neighbs 4/6/8oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",10.000001,21,69
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Lupo 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",10,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Arms Race Pale Ale 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",10,40,50
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Sweet Spot Light Hard Iced Tea 6/4/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",9,21,69
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Easy Going 2/12/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",8,33,57
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Strawberry Jam 6/4/12oz can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",7,33,57
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Double Blackberry 6/4/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",7,85,5
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,1939 Amber 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",6,82,8
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Windbreak Pale Ale 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",4,61,29
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Easy Going 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",4,21,69
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Citrus Surfer 1/6 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",2.293333,54,36
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Burch The Bear 4/6/12oz can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",1,96,-6
"Doll Dist - Des Moines, IA",ON,PRINCIPAL PARK,1 LINE DR,DES MOINES,IA,DOLL2,Easy Eddy 6/4/16oz Can,"DM HOUSE 590- Doll Dist - Des Moines, IA",178.666666,7,83
"Doll Dist - Des Moines, IA",ON,PRINCIPAL PARK,1 LINE DR,DES MOINES,IA,DOLL2,Easy Eddy 1/12/19.2 oz Can,"DM HOUSE 590- Doll Dist - Des Moines, IA",96,14,76
"Doll Dist - Des Moines, IA",ON,PRINCIPAL PARK,1 LINE DR,DES MOINES,IA,DOLL2,Citrus Surfer 1/12/19.2oz Can,"DM HOUSE 590- Doll Dist - Des Moines, IA",67.2,14,76
