Distributors,Brands,Item Names,Draft/Package,Current On Hand in Case Equivs,Projected Daily Rate of Sales,Projected Days on Hand,90 Days 4/23/2026 thru 7/21/2026 Case Equivs,90 Days 4/23/2025 thru 7/21/2025 Case Equivs,Pct,90 Days  7/22/2025 thru 10/19/2025 Case Equivs,Projected 90 Days Sales Case Equivs,Projected Order in Case Equivs,Last Sale Date
"Doll Dist - Des Moines, IA",Easy Eddy,Easy Eddy 1/2 Barrel Keg,DRAFT,2018.444,81.944704617199,24.6318,6806.222314,7254.000102,-0.061728395603,7860.222329,7375.02341554795,2490.80141554795,07/20/2026
"Doll Dist - Des Moines, IA",Easy Eddy,Easy Eddy 2/12/12oz Can,PACKAGE,1972,64.838541771463,30.414,6568,6626,-0.008753395714,5887,5835.46875943168,2663.46875943168,07/20/2026
"Doll Dist - Des Moines, IA",Easy Eddy,Easy Eddy 4/6/12oz Can,PACKAGE,1367,51.717032601461,26.4323,5181,5511,-0.059880239521,4951,4654.53293413153,1587.53293413153,07/20/2026
"Doll Dist - Des Moines, IA",Easy Eddy,Easy Eddy 1/6 Barrel Keg,DRAFT,545.813,22.723467393454,24.0198,2169.493161,2080.053173,0.042998895009,1960.799839,2045.11206541082,398.499065410825,07/20/2026
"Doll Dist - Des Moines, IA",Easy Eddy,Easy Eddy 1/24/12oz Can,PACKAGE,438,11.766666666667,37.2238,1059,0,--,0,0,-438,07/15/2026
"Doll Dist - Des Moines, IA",Easy Eddy,Easy Eddy 6/4/16oz Can,PACKAGE,196,13.165076704632,14.8879,1549.333262,1671.999945,-0.073365243442,1278.666589,1184.85690341686,242.189903416863,07/20/2026
"Doll Dist - Des Moines, IA",Easy Eddy,Easy Eddy 1/12/19.2 oz Can,PACKAGE,99.2,12.604356992265,7.8703,1140,1138.4,0.001405481377,1132.8,1134.39212930387,523.192129303866,07/20/2026
"Doll Dist - Des Moines, IA",Citrus Surfer,Citrus Surfer 1/2 Barrel Keg,DRAFT,1460.444,30.638605202434,47.6668,3313.555599,3981.77783,-0.167820069208,3313.555598,2757.47446821908,718.363468219084,07/20/2026
"Doll Dist - Des Moines, IA",Citrus Surfer,Citrus Surfer 1/6 Barrel Keg,DRAFT,440.32,11.571163446393,38.0532,1339.306555,1226.933214,0.091588800203,954.026562,1041.40471017537,234.151710175373,07/20/2026
"Doll Dist - Des Moines, IA",Citrus Surfer,Citrus Surfer 4/6/12oz Can,PACKAGE,355,15.359553998437,23.1127,1679,1998,-0.15965965966,1645,1382.3598598593,427.3598598593,07/20/2026
"Doll Dist - Des Moines, IA",Citrus Surfer,Citrus Surfer 2/12/12oz Can,PACKAGE,273,15.679943352798,17.4108,1730,1883,-0.081253319172,1536,1411.19490175181,538.194901751808,07/20/2026
"Doll Dist - Des Moines, IA",Citrus Surfer,Citrus Surfer 6/4/16oz Can,PACKAGE,193.333,4.086021167987,47.3157,533.333305,661.333318,-0.193548411242,455.999976,367.74190511881,174.40890511881,07/20/2026
"Doll Dist - Des Moines, IA",Citrus Surfer,Citrus Surfer 1/12/19.2oz Can,PACKAGE,5.6,2.197311827958,2.5486,244,396.8,-0.385080645161,321.6,197.758064516222,64.158064516222,07/20/2026
"Doll Dist - Des Moines, IA",Neighborhood Beer,Neighborhood Beer 2/12/12oz Can,PACKAGE,580,5.171568053112,112.1517,463,569,-0.186291739895,572,465.44112478006,-114.55887521994,07/17/2026
"Doll Dist - Des Moines, IA",Neighborhood Beer,Neighborhood Beer 4/6/12oz Can,PACKAGE,431,4.959851645805,86.8978,622,719,-0.134909596662,516,446.386648122408,15.386648122408,07/20/2026
"Doll Dist - Des Moines, IA",Neighborhood Beer,Neighborhood Beer 6/4/16oz Can,PACKAGE,250.667,4.793415001647,52.294,149.333325,36,3.148147916667,103.999992,431.407350148185,74.073350148185,07/17/2026
"Doll Dist - Des Moines, IA",Neighborhood Beer,Neighborhood Beer 1/6 Barrel Keg,DRAFT,135.307,0.821629525234,164.6813,107.786655,197.226649,-0.453488382293,135.306652,73.946657271038,-84.293342728962,07/17/2026
"Doll Dist - Des Moines, IA",Neighborhood Beer,Neighborhood Beer 1/2 Barrel Keg,DRAFT,110.222,18.939086557681,5.8198,1501.777791,1377.777788,0.09000000151,1563.777787,1704.5177901913,657.406790191304,07/17/2026
"Doll Dist - Des Moines, IA",Neighborhood Beer,Neighbs 4/6/8oz Can,PACKAGE,20.667,0.244444522222,84.5468,22.000007,0,--,0,0,-20.667,07/17/2026
"Doll Dist - Des Moines, IA",Neighborhood Beer,Neighborhood Beer 1/24/12oz Can,PACKAGE,0,10,0,0,0,--,900,900,900,03/04/2026
"Doll Dist - Des Moines, IA",Eddy Variety Pack,Eddy Variety Pack 2/12/12oz Can,PACKAGE,823,17.411111111111,47.2687,1567,0,--,0,0,-1123,07/20/2026
"Doll Dist - Des Moines, IA",Eddy Variety Pack,Eddy Variety Pack 2/12/12oz can #1,PACKAGE,0,0,0,0,0,--,0,0,0,03/17/2023
"Doll Dist - Des Moines, IA",Eddy Variety Pack,Eddy Variety Pack 2/12/12oz can #7,PACKAGE,0,0,0,0,0,--,0,0,0,07/11/2024
"Doll Dist - Des Moines, IA",Eddy Variety Pack,Eddy Variety Pack 2/12/12oz Can,PACKAGE,0,0,0,0,0,--,0,0,0,03/21/2025
"Doll Dist - Des Moines, IA",Eddy Variety Pack,Eddy Variety Pack 2/12/12oz can #3,PACKAGE,0,0,0,0,0,--,0,0,0,02/02/2024
"Doll Dist - Des Moines, IA",Eddy Variety Pack,Eddy Variety Pack 2/12/12oz can #6,PACKAGE,0,0,0,0,0,--,0,0,0,05/06/2024
"Doll Dist - Des Moines, IA",Eddy Variety Pack,Eddy Variety Pack 2/12/12oz Can,PACKAGE,0,-0.049028677161,0,-5,2162,-1.002312673451,1908,-4.412580944508,-4.412580944508,04/29/2026
"Doll Dist - Des Moines, IA",Eddy Variety Pack,Eddy Variety Pack 2/12/12oz can #5,PACKAGE,0,0,0,0,0,--,0,0,0,03/27/2024
