,,,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected
OnOff Premises,Account Names,Address,City,State,Zip Code,Phone,Store Num,VIP Outlet ID,Last KARMA entry,Item Names,Classes of Trade,Dist Routes,1 Year 1/1/2026 thru 7/21/2026  Case Equivs,1 Year 1/1/2026 thru 7/21/2026  Units Sold,1 Year 1/1/2026 thru 7/21/2026  Barrel Equivs,1 Year 1/1/2026 thru 7/21/2026  Net Price,1 Year 1/1/2026 thru 7/21/2026  Ave Unit Price,1 Year 1/1/2026 thru 7/21/2026  Did Buys,1 Year 1/1/2026 thru 7/21/2026  Did Buys(All Accts),1 Year 1/1/2026 thru 7/21/2026  Effective Placements,1 Year 1/1/2026 thru 7/21/2026  Effective(All Accts),1 Year 1/1/2026 thru 7/21/2026  Brand Placements,1 Year 1/1/2026 thru 7/21/2026  Brd Placements(All),1 Year 1/1/2026 thru 7/21/2026  ROS per Acct,1 Year 1/1/2026 thru 7/21/2026  ROS per Placement,1 Year 1/1/2026 thru 7/21/2026  Pct Sold,1 Year 1/1/2026 thru 7/21/2026  Authorized Can Buys,1 Year 1/1/2026 thru 7/21/2026  Authorized Acct Gaps,1 Year 1/1/2026 thru 7/21/2026  Authorized Items,1 Year 1/1/2026 thru 7/21/2026  Total F.O.B.,1 Year 1/1/2026 thru 7/21/2026  Authorized Item Gaps,1 Year 1/1/2026 thru 7/21/2026  First Buy Date,1 Year 1/1/2026 thru 7/21/2026  Last Buy Date,1 Year 1/1/2026 thru 7/21/2026  Avg. F.O.B.,1 Year 1/1/2026 thru 7/21/2026  # Purchases,1 Year 1/1/2025 thru 7/21/2025  Case Equivs,1 Year 1/1/2025 thru 7/21/2025  Units Sold,1 Year 1/1/2025 thru 7/21/2025  Barrel Equivs,1 Year 1/1/2025 thru 7/21/2025  Net Price,1 Year 1/1/2025 thru 7/21/2025  Ave Unit Price,1 Year 1/1/2025 thru 7/21/2025  Did Buys,1 Year 1/1/2025 thru 7/21/2025  Did Buys(All Accts),1 Year 1/1/2025 thru 7/21/2025  Effective Placements,1 Year 1/1/2025 thru 7/21/2025  Effective(All Accts),1 Year 1/1/2025 thru 7/21/2025  Brand Placements,1 Year 1/1/2025 thru 7/21/2025  Brd Placements(All),1 Year 1/1/2025 thru 7/21/2025  ROS per Acct,1 Year 1/1/2025 thru 7/21/2025  ROS per Placement,1 Year 1/1/2025 thru 7/21/2025  Pct Sold,1 Year 1/1/2025 thru 7/21/2025  Authorized Can Buys,1 Year 1/1/2025 thru 7/21/2025  Authorized Acct Gaps,1 Year 1/1/2025 thru 7/21/2025  Authorized Items,1 Year 1/1/2025 thru 7/21/2025  Total F.O.B.,1 Year 1/1/2025 thru 7/21/2025  Authorized Item Gaps,1 Year 1/1/2025 thru 7/21/2025  First Buy Date,1 Year 1/1/2025 thru 7/21/2025  Last Buy Date,1 Year 1/1/2025 thru 7/21/2025  Avg. F.O.B.,1 Year 1/1/2025 thru 7/21/2025  # Purchases,Diff  Case Equivs,Diff  Units Sold,Diff  Barrel Equivs,Diff  Net Price,Diff  Ave Unit Price,Diff  Did Buys,Diff  Did Buys(All Accts),Diff  Effective Placements,Diff  Effective(All Accts),Diff  Brand Placements,Diff  Brd Placements(All),Diff  ROS per Acct,Diff  ROS per Placement,Diff  Pct Sold,Diff  Authorized Can Buys,Diff  Authorized Acct Gaps,Diff  Authorized Items,Diff  Total F.O.B.,Diff  Authorized Item Gaps,Diff  Avg. F.O.B.,Diff  # Purchases,Pct  Case Equivs,Pct  Units Sold,Pct  Barrel Equivs,Pct  Net Price,Pct  Ave Unit Price,Pct  Did Buys,Pct  Did Buys(All Accts),Pct  Effective Placements,Pct  Effective(All Accts),Pct  Brand Placements,Pct  Brd Placements(All),Pct  ROS per Acct,Pct  ROS per Placement,Pct  Pct Sold,Pct  Authorized Can Buys,Pct  Authorized Acct Gaps,Pct  Authorized Items,Pct  Total F.O.B.,Pct  Authorized Item Gaps,Pct  Avg. F.O.B.,Pct  # Purchases
ON,DIAMOND CONCESSIONS DOZER PARK,730 SW JEFFERSON AV,PEORIA,IL,61605,3096804027,,4293612,0,Easy Eddy 1/2 Barrel Keg,CONCESSIONAIRE,"JAMES COWEN 084- Brewers Distributing Inc., IL",34.444445,5,2.5,1050,210,1,1,1,1,1,1,34.444445,34.444445,1,0,0,0,711.25,0,04/03/2026,07/17/2026,142.25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,34.444445,5,2.5,1050,210,1,1,1,1,1,1,34.444445,34.444445,1,0,0,0,711.25,0,142.25,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,DIAMOND CONCESSIONS DOZER PARK,730 SW JEFFERSON AV,PEORIA,IL,61605,3096804027,,4293612,0,Citrus Surfer 1/2 Barrel Keg,CONCESSIONAIRE,"JAMES COWEN 084- Brewers Distributing Inc., IL",27.555556,4,2,640,160,1,1,1,1,1,1,27.555556,27.555556,1,0,0,0,430,0,03/20/2026,07/11/2026,107.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,27.555556,4,2,640,160,1,1,1,1,1,1,27.555556,27.555556,1,0,0,0,430,0,107.5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,DIAMOND CONCESSIONS DOZER PARK,730 SW JEFFERSON AV,PEORIA,IL,61605,3096804027,,4293612,0,Neighborhood Beer 1/2 Barrel Keg,CONCESSIONAIRE,"JAMES COWEN 084- Brewers Distributing Inc., IL",20.666667,3,1.5,465,155,1,1,1,1,1,1,20.666667,20.666667,1,0,0,0,308.25,0,04/03/2026,07/17/2026,102.75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,20.666667,3,1.5,465,155,1,1,1,1,1,1,20.666667,20.666667,1,0,0,0,308.25,0,102.75,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,DIAMOND CONCESSIONS DOZER PARK,730 SW JEFFERSON AV,PEORIA,IL,61605,3096804027,,4293612,0,1939 Amber 1/2 Barrel Keg,CONCESSIONAIRE,"JAMES COWEN 084- Brewers Distributing Inc., IL",20.666667,3,1.5,480,160,1,1,1,1,1,1,20.666667,20.666667,1,0,0,0,322.5,0,04/03/2026,07/17/2026,107.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,20.666667,3,1.5,480,160,1,1,1,1,1,1,20.666667,20.666667,1,0,0,0,322.5,0,107.5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,DIAMOND CONCESSIONS DOZER PARK,730 SW JEFFERSON AV,PEORIA,IL,61605,3096804027,,4293612,0,Easy Eddy 6/4/16oz Can,CONCESSIONAIRE,"JAMES COWEN 084- Brewers Distributing Inc., IL",8,6,0.580645,297,49.5,1,1,1,1,1,1,8,8,1,0,0,0,0,0,04/03/2026,06/12/2026,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,8,6,0.580645,297,49.5,1,1,1,1,1,1,8,8,1,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,DIAMOND CONCESSIONS DOZER PARK,730 SW JEFFERSON AV,PEORIA,IL,61605,3096804027,,4293612,0,Neighborhood Beer 6/4/16oz Can,CONCESSIONAIRE,"JAMES COWEN 084- Brewers Distributing Inc., IL",5.333333,4,0.387097,132,33,1,1,1,1,1,1,5.333333,5.333333,1,0,0,0,82,0,04/03/2026,06/12/2026,20.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,5.333333,4,0.387097,132,33,1,1,1,1,1,1,5.333333,5.333333,1,0,0,0,82,0,20.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,DIAMOND CONCESSIONS DOZER PARK,730 SW JEFFERSON AV,PEORIA,IL,61605,3096804027,,4293612,0,Citrus Surfer 6/4/16oz Can,CONCESSIONAIRE,"JAMES COWEN 084- Brewers Distributing Inc., IL",5.333333,4,0.387097,180,45,1,1,1,1,1,1,5.333333,5.333333,1,0,0,0,0,0,04/03/2026,06/12/2026,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,5.333333,4,0.387097,180,45,1,1,1,1,1,1,5.333333,5.333333,1,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,DIAMOND CONCESSIONS DOZER PARK,730 SW JEFFERSON AV,PEORIA,IL,61605,3096804027,,4293612,0,Easy Eddy 1/6 Barrel Keg,CONCESSIONAIRE,"JAMES COWEN 084- Brewers Distributing Inc., IL",4.586667,2,0.332903,180,90,1,1,1,1,1,1,4.586667,4.586667,1,0,0,0,121,0,07/11/2026,07/11/2026,60.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,4.586667,2,0.332903,180,90,1,1,1,1,1,1,4.586667,4.586667,1,0,0,0,121,0,60.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,DUCKS,2016 W FARMINGTON RD,PEORIA,IL,61604,3094539321,,4749017,20250314,Citrus Surfer 1/2 Barrel Keg,BAR/TAVERN,"JAMES COWEN 084- Brewers Distributing Inc., IL",68.88889,10,5,1600,160,1,1,1,1,1,1,68.88889,68.88889,1,0,0,0,1075,0,01/06/2026,07/21/2026,107.5,10,55.111112,8,4,1280,160,1,1,1,1,1,1,55.111112,55.111112,1,0,0,0,0,0,01/28/2025,07/08/2025,0,8,13.777778,2,1,320,0,0,0,0,0,0,0,13.777778,13.777778,0,0,0,0,1075,0,107.5,2,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,1,0,1,0.25
ON,DUCKS,2016 W FARMINGTON RD,PEORIA,IL,61604,3094539321,,4749017,20250314,Citrus Surfer 1/6 Barrel Keg,BAR/TAVERN,"JAMES COWEN 084- Brewers Distributing Inc., IL",4.586666,2,0.332904,140,70,1,1,1,1,1,1,4.586666,4.586666,1,0,0,0,93,0,06/09/2026,06/16/2026,46.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,4.586666,2,0.332904,140,70,1,1,1,1,1,1,4.586666,4.586666,1,0,0,0,93,0,46.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,KEPS PLACE,313 MULLER RD,WASHINGTON,IL,61571,3094441974,,2486275,20250510,Easy Eddy 1/6 Barrel Keg,BAR/TAVERN,"TIM CULBERTSON 083- Brewers Distributing Inc., IL",55.039999,24,3.994841,2160,90,1,1,1,1,1,1,55.039999,55.039999,1,0,0,0,1452,0,02/25/2026,07/15/2026,60.5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,55.039999,24,3.994841,2160,90,1,1,1,1,1,1,55.039999,55.039999,1,0,0,0,1452,0,60.5,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,KEPS PLACE,313 MULLER RD,WASHINGTON,IL,61571,3094441974,,2486275,20250510,Citrus Surfer 1/6 Barrel Keg,BAR/TAVERN,"TIM CULBERTSON 083- Brewers Distributing Inc., IL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,13.759998,6,0.998712,420,70,1,1,1,1,1,1,13.759998,13.759998,1,0,0,0,0,0,03/19/2025,05/28/2025,0,6,-13.759998,-6,-0.998712,-420,-70,-1,-1,-1,-1,-1,-1,-13.759998,-13.759998,-1,0,0,0,0,0,0,-6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1
ON,THE NEON BISON,617 MAIN ST,PEORIA,IL,61602,3096745005,,4812097,20250510,Citrus Surfer 1/2 Barrel Keg,BAR/TAVERN,"COLLIN FRANKS 067- Brewers Distributing Inc., IL",41.333334,6,3,960,160,1,1,1,1,1,1,41.333334,41.333334,1,0,0,0,645,0,01/16/2026,06/26/2026,107.5,6,41.333334,6,3,960,160,1,1,1,1,1,1,41.333334,41.333334,1,0,0,0,0,0,01/31/2025,07/18/2025,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,0,107.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ON,EVERGREEN FARM BREWING,1179 DOUGLAS RD,METAMORA,IL,61548,3092501858,,4572600,0,Citrus Surfer 1/2 Barrel Keg,BAR/TAVERN,"HOUSE BOX 099- Brewers Distributing Inc., IL",20.666667,3,1.5,480,160,1,1,1,1,1,1,20.666667,20.666667,1,0,0,0,322.5,0,03/06/2026,05/20/2026,107.5,3,20.666667,3,1.5,480,160,1,1,1,1,1,1,20.666667,20.666667,1,0,0,0,0,0,05/27/2025,07/17/2025,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.5,0,107.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ON,EVERGREEN FARM BREWING,1179 DOUGLAS RD,METAMORA,IL,61548,3092501858,,4572600,0,Easy Eddy 1/6 Barrel Keg,BAR/TAVERN,"HOUSE BOX 099- Brewers Distributing Inc., IL",6.879999,3,0.499356,270,90,1,1,1,1,1,1,6.879999,6.879999,1,0,0,0,181.5,0,03/20/2026,06/05/2026,60.5,3,9.173332,4,0.665808,360,90,1,1,1,1,1,1,9.173332,9.173332,1,0,0,0,0,0,04/24/2025,06/20/2025,0,4,-2.293333,-1,-0.166452,-90,0,0,0,0,0,0,0,-2.293333,-2.293333,0,0,0,0,181.5,0,60.5,-1,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,1,0,1,-0.25
ON,EVERGREEN FARM BREWING,1179 DOUGLAS RD,METAMORA,IL,61548,3092501858,,4572600,0,Citrus Surfer 1/6 Barrel Keg,BAR/TAVERN,"HOUSE BOX 099- Brewers Distributing Inc., IL",4.586666,2,0.332904,140,70,1,1,1,1,1,1,4.586666,4.586666,1,0,0,0,93,0,04/02/2026,06/26/2026,46.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,4.586666,2,0.332904,140,70,1,1,1,1,1,1,4.586666,4.586666,1,0,0,0,93,0,46.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
