,,,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected
OnOff Premises,Account Names,Address,City,State,Zip Code,Phone,Store Num,VIP Outlet ID,Last KARMA entry,Item Names,Classes of Trade,Dist Routes,1 Year 1/1/2026 thru 7/21/2026  Case Equivs,1 Year 1/1/2026 thru 7/21/2026  Units Sold,1 Year 1/1/2026 thru 7/21/2026  Barrel Equivs,1 Year 1/1/2026 thru 7/21/2026  Net Price,1 Year 1/1/2026 thru 7/21/2026  Ave Unit Price,1 Year 1/1/2026 thru 7/21/2026  Did Buys,1 Year 1/1/2026 thru 7/21/2026  Did Buys(All Accts),1 Year 1/1/2026 thru 7/21/2026  Effective Placements,1 Year 1/1/2026 thru 7/21/2026  Effective(All Accts),1 Year 1/1/2026 thru 7/21/2026  Brand Placements,1 Year 1/1/2026 thru 7/21/2026  Brd Placements(All),1 Year 1/1/2026 thru 7/21/2026  ROS per Acct,1 Year 1/1/2026 thru 7/21/2026  ROS per Placement,1 Year 1/1/2026 thru 7/21/2026  Pct Sold,1 Year 1/1/2026 thru 7/21/2026  Authorized Can Buys,1 Year 1/1/2026 thru 7/21/2026  Authorized Acct Gaps,1 Year 1/1/2026 thru 7/21/2026  Authorized Items,1 Year 1/1/2026 thru 7/21/2026  Total F.O.B.,1 Year 1/1/2026 thru 7/21/2026  Authorized Item Gaps,1 Year 1/1/2026 thru 7/21/2026  First Buy Date,1 Year 1/1/2026 thru 7/21/2026  Last Buy Date,1 Year 1/1/2026 thru 7/21/2026  Avg. F.O.B.,1 Year 1/1/2026 thru 7/21/2026  # Purchases,1 Year 1/1/2025 thru 7/21/2025  Case Equivs,1 Year 1/1/2025 thru 7/21/2025  Units Sold,1 Year 1/1/2025 thru 7/21/2025  Barrel Equivs,1 Year 1/1/2025 thru 7/21/2025  Net Price,1 Year 1/1/2025 thru 7/21/2025  Ave Unit Price,1 Year 1/1/2025 thru 7/21/2025  Did Buys,1 Year 1/1/2025 thru 7/21/2025  Did Buys(All Accts),1 Year 1/1/2025 thru 7/21/2025  Effective Placements,1 Year 1/1/2025 thru 7/21/2025  Effective(All Accts),1 Year 1/1/2025 thru 7/21/2025  Brand Placements,1 Year 1/1/2025 thru 7/21/2025  Brd Placements(All),1 Year 1/1/2025 thru 7/21/2025  ROS per Acct,1 Year 1/1/2025 thru 7/21/2025  ROS per Placement,1 Year 1/1/2025 thru 7/21/2025  Pct Sold,1 Year 1/1/2025 thru 7/21/2025  Authorized Can Buys,1 Year 1/1/2025 thru 7/21/2025  Authorized Acct Gaps,1 Year 1/1/2025 thru 7/21/2025  Authorized Items,1 Year 1/1/2025 thru 7/21/2025  Total F.O.B.,1 Year 1/1/2025 thru 7/21/2025  Authorized Item Gaps,1 Year 1/1/2025 thru 7/21/2025  First Buy Date,1 Year 1/1/2025 thru 7/21/2025  Last Buy Date,1 Year 1/1/2025 thru 7/21/2025  Avg. F.O.B.,1 Year 1/1/2025 thru 7/21/2025  # Purchases,Diff  Case Equivs,Diff  Units Sold,Diff  Barrel Equivs,Diff  Net Price,Diff  Ave Unit Price,Diff  Did Buys,Diff  Did Buys(All Accts),Diff  Effective Placements,Diff  Effective(All Accts),Diff  Brand Placements,Diff  Brd Placements(All),Diff  ROS per Acct,Diff  ROS per Placement,Diff  Pct Sold,Diff  Authorized Can Buys,Diff  Authorized Acct Gaps,Diff  Authorized Items,Diff  Total F.O.B.,Diff  Authorized Item Gaps,Diff  Avg. F.O.B.,Diff  # Purchases,Pct  Case Equivs,Pct  Units Sold,Pct  Barrel Equivs,Pct  Net Price,Pct  Ave Unit Price,Pct  Did Buys,Pct  Did Buys(All Accts),Pct  Effective Placements,Pct  Effective(All Accts),Pct  Brand Placements,Pct  Brd Placements(All),Pct  ROS per Acct,Pct  ROS per Placement,Pct  Pct Sold,Pct  Authorized Can Buys,Pct  Authorized Acct Gaps,Pct  Authorized Items,Pct  Total F.O.B.,Pct  Authorized Item Gaps,Pct  Avg. F.O.B.,Pct  # Purchases
ON,BIG GROVE BREWERY,7060 MISSION RD,PRAIRIE VILLAGE,KS,66208,9134316700,,4961508,0,Neighborhood Beer 1/2 Barrel Keg,TASTING ROOM,KS SLS ROUTE 56 LAVENDER KS56- Central States Bev.,1054.000003,153,76.5,23562,154,1,1,1,1,1,1,1054.000003,1054.000003,1,0,0,0,16493.4,0,05/13/2026,07/17/2026,107.8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,1054.000003,153,76.5,23562,154,1,1,1,1,1,1,1054.000003,1054.000003,1,0,0,0,16493.4,0,107.8,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,BIG GROVE BREWERY,7060 MISSION RD,PRAIRIE VILLAGE,KS,66208,9134316700,,4961508,0,Easy Eddy 1/2 Barrel Keg,TASTING ROOM,KS SLS ROUTE 56 LAVENDER KS56- Central States Bev.,950.666667,138,69,26772,194,1,1,1,1,1,1,950.666667,950.666667,1,0,0,0,0,0,05/08/2026,07/17/2026,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,950.666667,138,69,26772,194,1,1,1,1,1,1,950.666667,950.666667,1,0,0,0,0,0,0,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,BIG GROVE BREWERY,7060 MISSION RD,PRAIRIE VILLAGE,KS,66208,9134316700,,4961508,0,Citrus Surfer 1/2 Barrel Keg,TASTING ROOM,KS SLS ROUTE 56 LAVENDER KS56- Central States Bev.,620.000003,90,45,14760,164,1,1,1,1,1,1,620.000003,620.000003,1,0,0,0,0,0,05/08/2026,07/17/2026,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,620.000003,90,45,14760,164,1,1,1,1,1,1,620.000003,620.000003,1,0,0,0,0,0,0,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,BIG GROVE BREWERY,7060 MISSION RD,PRAIRIE VILLAGE,KS,66208,9134316700,,4961508,0,Lupo 1/2 Barrel,TASTING ROOM,KS SLS ROUTE 56 LAVENDER KS56- Central States Bev.,344.444447,50,25,8200,164,1,1,1,1,1,1,344.444447,344.444447,1,0,0,0,0,0,05/13/2026,07/14/2026,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,344.444447,50,25,8200,164,1,1,1,1,1,1,344.444447,344.444447,1,0,0,0,0,0,0,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,BIG GROVE BREWERY,7060 MISSION RD,PRAIRIE VILLAGE,KS,66208,9134316700,,4961508,0,Citrus Surfer Lime 1/2 Barrel Keg,TASTING ROOM,KS SLS ROUTE 56 LAVENDER KS56- Central States Bev.,337.555556,49,24.5,8036,164,1,1,1,1,1,1,337.555556,337.555556,1,0,0,0,0,0,05/13/2026,07/17/2026,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,337.555556,49,24.5,8036,164,1,1,1,1,1,1,337.555556,337.555556,1,0,0,0,0,0,0,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,BIG GROVE BREWERY,7060 MISSION RD,PRAIRIE VILLAGE,KS,66208,9134316700,,4961508,0,Silo Amber 1/2 Barrel Keg,TASTING ROOM,KS SLS ROUTE 56 LAVENDER KS56- Central States Bev.,234.222224,34,17,5236,154,1,1,1,1,1,1,234.222224,234.222224,1,0,0,0,0,0,05/13/2026,07/14/2026,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,234.222224,34,17,5236,154,1,1,1,1,1,1,234.222224,234.222224,1,0,0,0,0,0,0,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,BIG GROVE BREWERY,7060 MISSION RD,PRAIRIE VILLAGE,KS,66208,9134316700,,4961508,0,Wild Eddy 1/2 Barrel Keg,TASTING ROOM,KS SLS ROUTE 56 LAVENDER KS56- Central States Bev.,220.444446,32,16,6208,194,1,1,1,1,1,1,220.444446,220.444446,1,0,0,0,0,0,05/13/2026,06/24/2026,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,220.444446,32,16,6208,194,1,1,1,1,1,1,220.444446,220.444446,1,0,0,0,0,0,0,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,BIG GROVE BREWERY,7060 MISSION RD,PRAIRIE VILLAGE,KS,66208,9134316700,,4961508,0,Summer Jam 1/2 Barrel Keg,TASTING ROOM,KS SLS ROUTE 56 LAVENDER KS56- Central States Bev.,206.66667,30,15,7410,247,1,1,1,1,1,1,206.66667,206.66667,1,0,0,0,0,0,05/08/2026,07/14/2026,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,206.66667,30,15,7410,247,1,1,1,1,1,1,206.66667,206.66667,1,0,0,0,0,0,0,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,BIG GROVE BREWERY,7060 MISSION RD,PRAIRIE VILLAGE,KS,66208,9134316700,,4961508,0,Paper Sun Mexican Lager 1/2 Barrel Keg,TASTING ROOM,KS SLS ROUTE 56 LAVENDER KS56- Central States Bev.,199.777781,29,14.5,4756,164,1,1,1,1,1,1,199.777781,199.777781,1,0,0,0,0,0,05/13/2026,06/03/2026,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,199.777781,29,14.5,4756,164,1,1,1,1,1,1,199.777781,199.777781,1,0,0,0,0,0,0,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
