,,,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected
OnOff Premises,Account Names,Address,City,State,Zip Code,Phone,Store Num,VIP Outlet ID,Last KARMA entry,Item Names,Classes of Trade,Dist Routes,1 Year 1/1/2026 thru 7/15/2026  Case Equivs,1 Year 1/1/2026 thru 7/15/2026  Units Sold,1 Year 1/1/2026 thru 7/15/2026  Barrel Equivs,1 Year 1/1/2026 thru 7/15/2026  Net Price,1 Year 1/1/2026 thru 7/15/2026  Ave Unit Price,1 Year 1/1/2026 thru 7/15/2026  Did Buys,1 Year 1/1/2026 thru 7/15/2026  Did Buys(All Accts),1 Year 1/1/2026 thru 7/15/2026  Effective Placements,1 Year 1/1/2026 thru 7/15/2026  Effective(All Accts),1 Year 1/1/2026 thru 7/15/2026  Brand Placements,1 Year 1/1/2026 thru 7/15/2026  Brd Placements(All),1 Year 1/1/2026 thru 7/15/2026  ROS per Acct,1 Year 1/1/2026 thru 7/15/2026  ROS per Placement,1 Year 1/1/2026 thru 7/15/2026  Pct Sold,1 Year 1/1/2026 thru 7/15/2026  Authorized Can Buys,1 Year 1/1/2026 thru 7/15/2026  Authorized Acct Gaps,1 Year 1/1/2026 thru 7/15/2026  Authorized Items,1 Year 1/1/2026 thru 7/15/2026  Total F.O.B.,1 Year 1/1/2026 thru 7/15/2026  Authorized Item Gaps,1 Year 1/1/2026 thru 7/15/2026  First Buy Date,1 Year 1/1/2026 thru 7/15/2026  Last Buy Date,1 Year 1/1/2026 thru 7/15/2026  Avg. F.O.B.,1 Year 1/1/2026 thru 7/15/2026  # Purchases,1 Year 1/1/2025 thru 7/15/2025  Case Equivs,1 Year 1/1/2025 thru 7/15/2025  Units Sold,1 Year 1/1/2025 thru 7/15/2025  Barrel Equivs,1 Year 1/1/2025 thru 7/15/2025  Net Price,1 Year 1/1/2025 thru 7/15/2025  Ave Unit Price,1 Year 1/1/2025 thru 7/15/2025  Did Buys,1 Year 1/1/2025 thru 7/15/2025  Did Buys(All Accts),1 Year 1/1/2025 thru 7/15/2025  Effective Placements,1 Year 1/1/2025 thru 7/15/2025  Effective(All Accts),1 Year 1/1/2025 thru 7/15/2025  Brand Placements,1 Year 1/1/2025 thru 7/15/2025  Brd Placements(All),1 Year 1/1/2025 thru 7/15/2025  ROS per Acct,1 Year 1/1/2025 thru 7/15/2025  ROS per Placement,1 Year 1/1/2025 thru 7/15/2025  Pct Sold,1 Year 1/1/2025 thru 7/15/2025  Authorized Can Buys,1 Year 1/1/2025 thru 7/15/2025  Authorized Acct Gaps,1 Year 1/1/2025 thru 7/15/2025  Authorized Items,1 Year 1/1/2025 thru 7/15/2025  Total F.O.B.,1 Year 1/1/2025 thru 7/15/2025  Authorized Item Gaps,1 Year 1/1/2025 thru 7/15/2025  First Buy Date,1 Year 1/1/2025 thru 7/15/2025  Last Buy Date,1 Year 1/1/2025 thru 7/15/2025  Avg. F.O.B.,1 Year 1/1/2025 thru 7/15/2025  # Purchases,Diff  Case Equivs,Diff  Units Sold,Diff  Barrel Equivs,Diff  Net Price,Diff  Ave Unit Price,Diff  Did Buys,Diff  Did Buys(All Accts),Diff  Effective Placements,Diff  Effective(All Accts),Diff  Brand Placements,Diff  Brd Placements(All),Diff  ROS per Acct,Diff  ROS per Placement,Diff  Pct Sold,Diff  Authorized Can Buys,Diff  Authorized Acct Gaps,Diff  Authorized Items,Diff  Total F.O.B.,Diff  Authorized Item Gaps,Diff  Avg. F.O.B.,Diff  # Purchases,Pct  Case Equivs,Pct  Units Sold,Pct  Barrel Equivs,Pct  Net Price,Pct  Ave Unit Price,Pct  Did Buys,Pct  Did Buys(All Accts),Pct  Effective Placements,Pct  Effective(All Accts),Pct  Brand Placements,Pct  Brd Placements(All),Pct  ROS per Acct,Pct  ROS per Placement,Pct  Pct Sold,Pct  Authorized Can Buys,Pct  Authorized Acct Gaps,Pct  Authorized Items,Pct  Total F.O.B.,Pct  Authorized Item Gaps,Pct  Avg. F.O.B.,Pct  # Purchases
ON,ISLAND SUSHI BAR & GRILL,875 HERITAGE RD,DE PERE,WI,54115,9206327964,,4346129,20260709,Easy Eddy 1/2 Barrel Keg,RESTAURANT,"SALES REP 58 58- Dean Distributing Inc., WI",82.666668,12,6,2280,190,1,1,1,1,1,1,82.666668,82.666668,1,0,0,0,1596,0,01/15/2026,07/09/2026,133,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,82.666668,12,6,2280,190,1,1,1,1,1,1,82.666668,82.666668,1,0,0,0,1596,0,133,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,ISLAND SUSHI BAR & GRILL,875 HERITAGE RD,DE PERE,WI,54115,9206327964,,4346129,20260709,Citrus Surfer 1/2 Barrel Keg,RESTAURANT,"SALES REP 58 58- Dean Distributing Inc., WI",6.888889,1,0.5,160,160,1,1,1,1,1,1,6.888889,6.888889,1,0,0,0,112,0,01/15/2026,02/19/2026,112,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,6.888889,1,0.5,160,160,1,1,1,1,1,1,6.888889,6.888889,1,0,0,0,112,0,112,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,ISLAND SUSHI BAR & GRILL,875 HERITAGE RD,DE PERE,WI,54115,9206327964,,4346129,20260709,Citrus Surfer 4/6/12oz Can,RESTAURANT,"SALES REP 58 58- Dean Distributing Inc., WI",1,1,0.072581,33,33,1,1,1,1,1,1,1,1,1,0,0,0,23,0,03/26/2026,03/26/2026,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,1,1,0.072581,33,33,1,1,1,1,1,1,1,1,1,0,0,0,23,0,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,STATION 1 BREWING CO,1745 RIVERSIDE DR,SUAMICO,WI,54173,9203931004,,4466438,20260108,Easy Eddy 1/2 Barrel Keg,TASTING ROOM,"SALES REP 42 42- Dean Distributing Inc., WI",48.222223,7,3.5,1330,190,1,1,1,1,1,1,48.222223,48.222223,1,0,0,0,931,0,02/19/2026,06/11/2026,133,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,48.222223,7,3.5,1330,190,1,1,1,1,1,1,48.222223,48.222223,1,0,0,0,931,0,133,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,THE WINDJAMMER,W1820 HWY 41,MARINETTE,WI,54143,7153305248,,4422377,0,Easy Eddy 1/6 Barrel Keg,RESTAURANT,"SALES REP 46 46- Dean Distributing Inc., WI",41.279999,18,2.996131,1300,72.22222222222,1,1,1,1,1,1,41.279999,41.279999,1,0,0,0,1008,0,01/20/2026,07/08/2026,56,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,41.279999,18,2.996131,1300,72.22222222222,1,1,1,1,1,1,41.279999,41.279999,1,0,0,0,1008,0,56,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,POTAWATOMI CARTER CASINO,618 HWY 32,WABENO,WI,54566,7154732021,,3261735,0,Easy Eddy 1/2 Barrel Keg,RECREATION/ ENTERTAINMENT,"SALES REP 241 241- Dean Distributing Inc., WI",34.444445,5,2.5,950,190,1,1,1,1,1,1,34.444445,34.444445,1,0,0,0,665,0,02/05/2026,06/04/2026,133,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,34.444445,5,2.5,950,190,1,1,1,1,1,1,34.444445,34.444445,1,0,0,0,665,0,133,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,FOX HARBOR PUB & GRILL,348 S WASHINGTON ST,GREEN BAY,WI,54301,9205938327,,3108697,20260709,Easy Eddy 1/2 Barrel Keg,BAR/TAVERN,"SALES REP 51 51- Dean Distributing Inc., WI",27.555556,4,2,750,187.5,1,1,1,1,1,1,27.555556,27.555556,1,0,0,0,532,0,01/06/2026,07/07/2026,133,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,27.555556,4,2,750,187.5,1,1,1,1,1,1,27.555556,27.555556,1,0,0,0,532,0,133,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,FOX HARBOR PUB & GRILL,348 S WASHINGTON ST,GREEN BAY,WI,54301,9205938327,,3108697,20260709,Citrus Surfer 1/6 Barrel Keg,BAR/TAVERN,"SALES REP 51 51- Dean Distributing Inc., WI",2.293333,1,0.166452,50,50,1,1,1,1,1,1,2.293333,2.293333,1,0,0,0,42,0,01/06/2026,01/06/2026,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,2.293333,1,0.166452,50,50,1,1,1,1,1,1,2.293333,2.293333,1,0,0,0,42,0,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,FOX HARBOR PUB & GRILL,348 S WASHINGTON ST,GREEN BAY,WI,54301,9205938327,,3108697,20260709,Summer Jam 1/6 Barrel Keg,BAR/TAVERN,"SALES REP 51 51- Dean Distributing Inc., WI",2.293333,1,0.166452,90,90,1,1,1,1,1,1,2.293333,2.293333,1,0,0,0,0,0,06/30/2026,06/30/2026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,2.293333,1,0.166452,90,90,1,1,1,1,1,1,2.293333,2.293333,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
