,,,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected
OnOff Premises,Account Names,Address,City,State,Zip Code,Phone,Store Num,VIP Outlet ID,Last KARMA entry,Item Names,Classes of Trade,Dist Routes,1 Year 1/1/2026 thru 7/21/2026  Case Equivs,1 Year 1/1/2026 thru 7/21/2026  Units Sold,1 Year 1/1/2026 thru 7/21/2026  Barrel Equivs,1 Year 1/1/2026 thru 7/21/2026  Net Price,1 Year 1/1/2026 thru 7/21/2026  Ave Unit Price,1 Year 1/1/2026 thru 7/21/2026  Did Buys,1 Year 1/1/2026 thru 7/21/2026  Did Buys(All Accts),1 Year 1/1/2026 thru 7/21/2026  Effective Placements,1 Year 1/1/2026 thru 7/21/2026  Effective(All Accts),1 Year 1/1/2026 thru 7/21/2026  Brand Placements,1 Year 1/1/2026 thru 7/21/2026  Brd Placements(All),1 Year 1/1/2026 thru 7/21/2026  ROS per Acct,1 Year 1/1/2026 thru 7/21/2026  ROS per Placement,1 Year 1/1/2026 thru 7/21/2026  Pct Sold,1 Year 1/1/2026 thru 7/21/2026  Authorized Can Buys,1 Year 1/1/2026 thru 7/21/2026  Authorized Acct Gaps,1 Year 1/1/2026 thru 7/21/2026  Authorized Items,1 Year 1/1/2026 thru 7/21/2026  Total F.O.B.,1 Year 1/1/2026 thru 7/21/2026  Authorized Item Gaps,1 Year 1/1/2026 thru 7/21/2026  First Buy Date,1 Year 1/1/2026 thru 7/21/2026  Last Buy Date,1 Year 1/1/2026 thru 7/21/2026  Avg. F.O.B.,1 Year 1/1/2026 thru 7/21/2026  # Purchases,1 Year 1/1/2025 thru 7/21/2025  Case Equivs,1 Year 1/1/2025 thru 7/21/2025  Units Sold,1 Year 1/1/2025 thru 7/21/2025  Barrel Equivs,1 Year 1/1/2025 thru 7/21/2025  Net Price,1 Year 1/1/2025 thru 7/21/2025  Ave Unit Price,1 Year 1/1/2025 thru 7/21/2025  Did Buys,1 Year 1/1/2025 thru 7/21/2025  Did Buys(All Accts),1 Year 1/1/2025 thru 7/21/2025  Effective Placements,1 Year 1/1/2025 thru 7/21/2025  Effective(All Accts),1 Year 1/1/2025 thru 7/21/2025  Brand Placements,1 Year 1/1/2025 thru 7/21/2025  Brd Placements(All),1 Year 1/1/2025 thru 7/21/2025  ROS per Acct,1 Year 1/1/2025 thru 7/21/2025  ROS per Placement,1 Year 1/1/2025 thru 7/21/2025  Pct Sold,1 Year 1/1/2025 thru 7/21/2025  Authorized Can Buys,1 Year 1/1/2025 thru 7/21/2025  Authorized Acct Gaps,1 Year 1/1/2025 thru 7/21/2025  Authorized Items,1 Year 1/1/2025 thru 7/21/2025  Total F.O.B.,1 Year 1/1/2025 thru 7/21/2025  Authorized Item Gaps,1 Year 1/1/2025 thru 7/21/2025  First Buy Date,1 Year 1/1/2025 thru 7/21/2025  Last Buy Date,1 Year 1/1/2025 thru 7/21/2025  Avg. F.O.B.,1 Year 1/1/2025 thru 7/21/2025  # Purchases,Diff  Case Equivs,Diff  Units Sold,Diff  Barrel Equivs,Diff  Net Price,Diff  Ave Unit Price,Diff  Did Buys,Diff  Did Buys(All Accts),Diff  Effective Placements,Diff  Effective(All Accts),Diff  Brand Placements,Diff  Brd Placements(All),Diff  ROS per Acct,Diff  ROS per Placement,Diff  Pct Sold,Diff  Authorized Can Buys,Diff  Authorized Acct Gaps,Diff  Authorized Items,Diff  Total F.O.B.,Diff  Authorized Item Gaps,Diff  Avg. F.O.B.,Diff  # Purchases,Pct  Case Equivs,Pct  Units Sold,Pct  Barrel Equivs,Pct  Net Price,Pct  Ave Unit Price,Pct  Did Buys,Pct  Did Buys(All Accts),Pct  Effective Placements,Pct  Effective(All Accts),Pct  Brand Placements,Pct  Brd Placements(All),Pct  ROS per Acct,Pct  ROS per Placement,Pct  Pct Sold,Pct  Authorized Can Buys,Pct  Authorized Acct Gaps,Pct  Authorized Items,Pct  Total F.O.B.,Pct  Authorized Item Gaps,Pct  Avg. F.O.B.,Pct  # Purchases
OFF,BIG DOGS BEVERAGE,20310 WIRT ST,ELKHORN,NE,68022,4022890770,,4109845,20260619,Easy Eddy 4/6/12oz Can,LIQUOR/PACKAGE STORE,"JUSTIN HOGAN 101- Eagle Distributing Inc., NE",17.75,17.75,1.288307,692.25,39,1,1,1,1,1,1,17.75,17.75,1,0,0,0,0,0,01/16/2026,07/17/2026,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,17.75,17.75,1.288307,692.25,39,1,1,1,1,1,1,17.75,17.75,1,0,0,0,0,0,0,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
OFF,BIG DOGS BEVERAGE,20310 WIRT ST,ELKHORN,NE,68022,4022890770,,4109845,20260619,Citrus Surfer 1/6 Barrel Keg,LIQUOR/PACKAGE STORE,"JUSTIN HOGAN 101- Eagle Distributing Inc., NE",13.759999,6,0.998711,474,79,1,1,1,1,1,1,13.759999,13.759999,1,0,0,0,295.5,0,01/16/2026,07/10/2026,49.25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,13.759999,6,0.998711,474,79,1,1,1,1,1,1,13.759999,13.759999,1,0,0,0,295.5,0,49.25,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,BIG DOGS BEVERAGE,20310 WIRT ST,ELKHORN,NE,68022,4022890770,,4109845,20260619,Citrus Surfer 4/6/12oz Can,LIQUOR/PACKAGE STORE,"JUSTIN HOGAN 101- Eagle Distributing Inc., NE",11,11,0.798388,396,36,1,1,1,1,1,1,11,11,1,0,0,0,264,0,01/16/2026,06/26/2026,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,11,11,0.798388,396,36,1,1,1,1,1,1,11,11,1,0,0,0,264,0,24,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,BIG DOGS BEVERAGE,20310 WIRT ST,ELKHORN,NE,68022,4022890770,,4109845,20260619,Easy Eddy 1/6 Barrel Keg,LIQUOR/PACKAGE STORE,"JUSTIN HOGAN 101- Eagle Distributing Inc., NE",6.879999,3,0.499356,288,96,1,1,1,1,1,1,6.879999,6.879999,1,0,0,0,183.75,0,01/16/2026,05/29/2026,61.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,6.879999,3,0.499356,288,96,1,1,1,1,1,1,6.879999,6.879999,1,0,0,0,183.75,0,61.25,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,BIG DOGS BEVERAGE,20310 WIRT ST,ELKHORN,NE,68022,4022890770,,4109845,20260619,Neighborhood Beer 4/6/12oz Can,LIQUOR/PACKAGE STORE,"JUSTIN HOGAN 101- Eagle Distributing Inc., NE",5,5,0.362905,165,33,1,1,1,1,1,1,5,5,1,0,0,0,108.75,0,04/03/2026,06/19/2026,21.75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,5,5,0.362905,165,33,1,1,1,1,1,1,5,5,1,0,0,0,108.75,0,21.75,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,BIG DOGS BEVERAGE,20310 WIRT ST,ELKHORN,NE,68022,4022890770,,4109845,20260619,Easy Eddy 1/12/19.2 oz Can,LIQUOR/PACKAGE STORE,"JUSTIN HOGAN 101- Eagle Distributing Inc., NE",3.2,4,0.23226,116,29,1,1,1,1,1,1,3.2,3.2,1,0,0,0,77.6,0,01/23/2026,07/03/2026,19.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,3.2,4,0.23226,116,29,1,1,1,1,1,1,3.2,3.2,1,0,0,0,77.6,0,19.4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,BIG DOGS BEVERAGE,20310 WIRT ST,ELKHORN,NE,68022,4022890770,,4109845,20260619,Citrus Surfer 1/12/19.2oz Can,LIQUOR/PACKAGE STORE,"JUSTIN HOGAN 101- Eagle Distributing Inc., NE",0.8,1,0.058065,29,29,1,1,1,1,1,1,0.8,0.8,1,0,0,0,19.4,0,01/23/2026,01/23/2026,19.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,0.8,1,0.058065,29,29,1,1,1,1,1,1,0.8,0.8,1,0,0,0,19.4,0,19.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,CASEYS #6121,20402 VETERANS DR,ELKHORN,NE,68022,4022894650,6121,4486561,20251110,Easy Eddy 4/6/12oz Can,CONVENIENCE/ GAS,"JUSTIN HOGAN 101- Eagle Distributing Inc., NE",15,15,1.088713,585,39,1,1,1,1,1,1,15,15,1,1,0,1,0,0,02/03/2026,06/30/2026,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,-1,01/01/0001,01/01/0001,0,0,15,15,1.088713,585,39,1,1,1,1,1,1,15,15,1,0,1,0,0,1,0,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,0,0,-1,0,1
OFF,CASEYS #6121,20402 VETERANS DR,ELKHORN,NE,68022,4022894650,6121,4486561,20251110,Citrus Surfer 4/6/12oz Can,CONVENIENCE/ GAS,"JUSTIN HOGAN 101- Eagle Distributing Inc., NE",10,10,0.725809,360,36,1,1,1,1,1,1,10,10,1,1,0,1,240,0,02/03/2026,06/09/2026,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,-1,01/01/0001,01/01/0001,0,0,10,10,0.725809,360,36,1,1,1,1,1,1,10,10,1,0,1,0,240,1,24,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,0,1,-1,1,1
OFF,CASEYS #6121,20402 VETERANS DR,ELKHORN,NE,68022,4022894650,6121,4486561,20251110,Easy Eddy 1/12/19.2 oz Can,CONVENIENCE/ GAS,"JUSTIN HOGAN 101- Eagle Distributing Inc., NE",8.8,11,0.638714,319,29,1,1,1,1,1,1,8.8,8.8,1,1,0,1,213.4,0,02/03/2026,06/23/2026,19.4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,-1,01/01/0001,01/01/0001,0,0,8.8,11,0.638714,319,29,1,1,1,1,1,1,8.8,8.8,1,0,1,0,213.4,1,19.4,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,0,1,-1,1,1
OFF,CASEYS #3298,112 W TALMADGE RD,KEARNEY,NE,68847,3082342665,3298,3657464,0,Easy Eddy 4/6/12oz Can,CONVENIENCE/ GAS,"PAYTON STONE 508- Eagle Dist of Grand Island - NE,",15,15,1.088714,585,39,1,1,1,1,1,1,15,15,1,0,0,0,0,0,01/14/2026,07/15/2026,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,15,15,1.088714,585,39,1,1,1,1,1,1,15,15,1,0,0,0,0,0,0,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
OFF,CASEYS #3298,112 W TALMADGE RD,KEARNEY,NE,68847,3082342665,3298,3657464,0,Citrus Surfer 4/6/12oz Can,CONVENIENCE/ GAS,"PAYTON STONE 508- Eagle Dist of Grand Island - NE,",9,9,0.653228,324,36,1,1,1,1,1,1,9,9,1,0,0,0,216,0,01/14/2026,06/17/2026,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,9,9,0.653228,324,36,1,1,1,1,1,1,9,9,1,0,0,0,216,0,24,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,CASEYS #3298,112 W TALMADGE RD,KEARNEY,NE,68847,3082342665,3298,3657464,0,Easy Eddy 1/12/19.2 oz Can,CONVENIENCE/ GAS,"PAYTON STONE 508- Eagle Dist of Grand Island - NE,",8.8,11,0.638715,319,29,1,1,1,1,1,1,8.8,8.8,1,1,0,1,213.4,0,01/14/2026,07/08/2026,19.4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,-1,01/01/0001,01/01/0001,0,0,8.8,11,0.638715,319,29,1,1,1,1,1,1,8.8,8.8,1,0,1,0,213.4,1,19.4,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,0,1,-1,1,1
