,,,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected
OnOff Premises,Account Names,Address,City,State,Zip Code,Phone,Store Num,VIP Outlet ID,Last KARMA entry,Item Names,Classes of Trade,Dist Routes,1 Year 1/1/2026 thru 7/21/2026  Case Equivs,1 Year 1/1/2026 thru 7/21/2026  Units Sold,1 Year 1/1/2026 thru 7/21/2026  Barrel Equivs,1 Year 1/1/2026 thru 7/21/2026  Net Price,1 Year 1/1/2026 thru 7/21/2026  Ave Unit Price,1 Year 1/1/2026 thru 7/21/2026  Did Buys,1 Year 1/1/2026 thru 7/21/2026  Did Buys(All Accts),1 Year 1/1/2026 thru 7/21/2026  Effective Placements,1 Year 1/1/2026 thru 7/21/2026  Effective(All Accts),1 Year 1/1/2026 thru 7/21/2026  Brand Placements,1 Year 1/1/2026 thru 7/21/2026  Brd Placements(All),1 Year 1/1/2026 thru 7/21/2026  ROS per Acct,1 Year 1/1/2026 thru 7/21/2026  ROS per Placement,1 Year 1/1/2026 thru 7/21/2026  Pct Sold,1 Year 1/1/2026 thru 7/21/2026  Authorized Can Buys,1 Year 1/1/2026 thru 7/21/2026  Authorized Acct Gaps,1 Year 1/1/2026 thru 7/21/2026  Authorized Items,1 Year 1/1/2026 thru 7/21/2026  Total F.O.B.,1 Year 1/1/2026 thru 7/21/2026  Authorized Item Gaps,1 Year 1/1/2026 thru 7/21/2026  First Buy Date,1 Year 1/1/2026 thru 7/21/2026  Last Buy Date,1 Year 1/1/2026 thru 7/21/2026  Avg. F.O.B.,1 Year 1/1/2026 thru 7/21/2026  # Purchases,1 Year 1/1/2025 thru 7/21/2025  Case Equivs,1 Year 1/1/2025 thru 7/21/2025  Units Sold,1 Year 1/1/2025 thru 7/21/2025  Barrel Equivs,1 Year 1/1/2025 thru 7/21/2025  Net Price,1 Year 1/1/2025 thru 7/21/2025  Ave Unit Price,1 Year 1/1/2025 thru 7/21/2025  Did Buys,1 Year 1/1/2025 thru 7/21/2025  Did Buys(All Accts),1 Year 1/1/2025 thru 7/21/2025  Effective Placements,1 Year 1/1/2025 thru 7/21/2025  Effective(All Accts),1 Year 1/1/2025 thru 7/21/2025  Brand Placements,1 Year 1/1/2025 thru 7/21/2025  Brd Placements(All),1 Year 1/1/2025 thru 7/21/2025  ROS per Acct,1 Year 1/1/2025 thru 7/21/2025  ROS per Placement,1 Year 1/1/2025 thru 7/21/2025  Pct Sold,1 Year 1/1/2025 thru 7/21/2025  Authorized Can Buys,1 Year 1/1/2025 thru 7/21/2025  Authorized Acct Gaps,1 Year 1/1/2025 thru 7/21/2025  Authorized Items,1 Year 1/1/2025 thru 7/21/2025  Total F.O.B.,1 Year 1/1/2025 thru 7/21/2025  Authorized Item Gaps,1 Year 1/1/2025 thru 7/21/2025  First Buy Date,1 Year 1/1/2025 thru 7/21/2025  Last Buy Date,1 Year 1/1/2025 thru 7/21/2025  Avg. F.O.B.,1 Year 1/1/2025 thru 7/21/2025  # Purchases,Diff  Case Equivs,Diff  Units Sold,Diff  Barrel Equivs,Diff  Net Price,Diff  Ave Unit Price,Diff  Did Buys,Diff  Did Buys(All Accts),Diff  Effective Placements,Diff  Effective(All Accts),Diff  Brand Placements,Diff  Brd Placements(All),Diff  ROS per Acct,Diff  ROS per Placement,Diff  Pct Sold,Diff  Authorized Can Buys,Diff  Authorized Acct Gaps,Diff  Authorized Items,Diff  Total F.O.B.,Diff  Authorized Item Gaps,Diff  Avg. F.O.B.,Diff  # Purchases,Pct  Case Equivs,Pct  Units Sold,Pct  Barrel Equivs,Pct  Net Price,Pct  Ave Unit Price,Pct  Did Buys,Pct  Did Buys(All Accts),Pct  Effective Placements,Pct  Effective(All Accts),Pct  Brand Placements,Pct  Brd Placements(All),Pct  ROS per Acct,Pct  ROS per Placement,Pct  Pct Sold,Pct  Authorized Can Buys,Pct  Authorized Acct Gaps,Pct  Authorized Items,Pct  Total F.O.B.,Pct  Authorized Item Gaps,Pct  Avg. F.O.B.,Pct  # Purchases
OFF,HY VEE FOOD STORE #1052,6301 UNIVERSITY AVE STE C,CEDAR FALLS,IA,50613,3192667535,1052,2916304,20260624,Easy Eddy 2/12/12oz Can,SUPERMARKET,"JOSH JUEL 102- Fahr Bev - Waterloo, IA",133,133,9.653227,4497.24,33.81383458647,1,1,1,1,1,1,133,133,1,0,0,0,3358.25,0,01/02/2026,06/23/2026,25.25,23,77,77,5.588708,2710.4,35.2,1,1,1,1,1,1,77,77,1,0,0,0,1944.25,0,01/07/2025,07/11/2025,25.25,21,56,56,4.064519,1786.84,-1.38616541353,0,0,0,0,0,0,56,56,0,0,0,0,1414,0,0,2,0.727272727273,0.727272727273,0.727273459268,0.65925324675,-0.039379699248,0,0,0,0,0,0,0.727272727273,0.727272727273,0,0,0,0,0.72727273,0,0,0.095238
OFF,HY VEE FOOD STORE #1052,6301 UNIVERSITY AVE STE C,CEDAR FALLS,IA,50613,3192667535,1052,2916304,20260624,Easy Eddy 4/6/12oz Can,SUPERMARKET,"JOSH JUEL 102- Fahr Bev - Waterloo, IA",54,54,3.91936,1972.08,36.52,1,1,1,1,1,1,54,54,1,0,0,0,1363.5,0,01/02/2026,07/09/2026,25.25,30,43,43,3.120972,1570.36,36.52,1,1,1,1,1,1,43,43,1,0,0,0,1085.75,0,01/03/2025,07/18/2025,25.25,29,11,11,0.798388,401.72,0,0,0,0,0,0,0,11,11,0,0,0,0,277.75,0,0,1,0.255813953488,0.255813953488,0.255813893877,0.25581395349,0,0,0,0,0,0,0,0.255813953488,0.255813953488,0,0,0,0,0.25581395,0,0,0.034483
OFF,HY VEE FOOD STORE #1052,6301 UNIVERSITY AVE STE C,CEDAR FALLS,IA,50613,3192667535,1052,2916304,20260624,Citrus Surfer 2/12/12oz Can,SUPERMARKET,"JOSH JUEL 102- Fahr Bev - Waterloo, IA",39,39,2.830648,1185.6,30.4,1,1,1,1,1,1,39,39,1,0,0,0,897,0,01/13/2026,07/16/2026,23,19,22,22,1.596774,704,32,1,1,1,1,1,1,22,22,1,0,0,0,506,0,02/07/2025,07/11/2025,23,10,17,17,1.233874,481.6,-1.6,0,0,0,0,0,0,17,17,0,0,0,0,391,0,0,9,0.772727272727,0.772727272727,0.772729265381,0.68409090909,-0.05,0,0,0,0,0,0,0.772727272727,0.772727272727,0,0,0,0,0.77272727,0,0,0.9
OFF,HY VEE FOOD STORE #1052,6301 UNIVERSITY AVE STE C,CEDAR FALLS,IA,50613,3192667535,1052,2916304,20260624,Eddy Variety Pack 2/12/12oz Can,SUPERMARKET,"JOSH JUEL 102- Fahr Bev - Waterloo, IA",38,38,2.758065,1276.8,33.6,1,1,1,1,1,1,38,38,1,0,0,0,959.5,0,01/13/2026,06/30/2026,25.25,11,37,37,2.685485,1302.4,35.2,1,1,1,1,1,1,37,37,1,0,0,0,934.25,0,01/07/2025,07/11/2025,25.25,14,1,1,0.07258,-25.6,-1.6,0,0,0,0,0,0,1,1,0,0,0,0,25.25,0,0,-3,0.027027027027,0.027027027027,0.027026775424,-0.01965601966,-0.045454545455,0,0,0,0,0,0,0.027027027027,0.027027027027,0,0,0,0,0.02702703,0,0,-0.214286
OFF,HY VEE FOOD STORE #1052,6301 UNIVERSITY AVE STE C,CEDAR FALLS,IA,50613,3192667535,1052,2916304,20260624,Tigerhawk 2/12/12oz Can,SUPERMARKET,"JOSH JUEL 102- Fahr Bev - Waterloo, IA",38,38,2.758066,1033.6,27.2,1,1,1,1,1,1,38,38,1,0,0,0,777.1,0,06/09/2026,07/16/2026,20.45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,38,38,2.758066,1033.6,27.2,1,1,1,1,1,1,38,38,1,0,0,0,777.1,0,20.45,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1052,6301 UNIVERSITY AVE STE C,CEDAR FALLS,IA,50613,3192667535,1052,2916304,20260624,Zero Eddy 2/12/12oz Can,SUPERMARKET,"JOSH JUEL 102- Fahr Bev - Waterloo, IA",26,26,1.887097,873.6,33.6,1,1,1,1,1,1,26,26,1,0,0,0,656.5,0,03/05/2026,07/16/2026,25.25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,26,26,1.887097,873.6,33.6,1,1,1,1,1,1,26,26,1,0,0,0,656.5,0,25.25,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1052,6301 UNIVERSITY AVE STE C,CEDAR FALLS,IA,50613,3192667535,1052,2916304,20260624,Citrus Surfer Variety Pack 2/12/12oz Can,SUPERMARKET,"JOSH JUEL 102- Fahr Bev - Waterloo, IA",20,20,1.451615,608,30.4,1,1,1,1,1,1,20,20,1,0,0,0,460,0,02/03/2026,07/16/2026,23,12,20,20,1.451613,640,32,1,1,1,1,1,1,20,20,1,0,0,0,460,0,04/29/2025,07/01/2025,23,6,0,0,0.000002,-32,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1.377778E-06,-0.05,-0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OFF,HY VEE FOOD STORE #1052,6301 UNIVERSITY AVE STE C,CEDAR FALLS,IA,50613,3192667535,1052,2916304,20260624,Zero Eddy 4/6/12oz Can,SUPERMARKET,"JOSH JUEL 102- Fahr Bev - Waterloo, IA",19,19,1.379034,693.88,36.52,1,1,1,1,1,1,19,19,1,0,0,0,479.75,0,02/03/2026,07/16/2026,25.25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,19,19,1.379034,693.88,36.52,1,1,1,1,1,1,19,19,1,0,0,0,479.75,0,25.25,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1052,6301 UNIVERSITY AVE STE C,CEDAR FALLS,IA,50613,3192667535,1052,2916304,20260624,Neighborhood Beer 2/12/12oz Can,SUPERMARKET,"JOSH JUEL 102- Fahr Bev - Waterloo, IA",17,17,1.233874,465.2,27.36470588235,1,1,1,1,1,1,17,17,1,0,0,0,347.65,0,01/20/2026,07/16/2026,20.45,12,25,25,1.814517,717.76,28.7104,1,1,1,1,1,1,25,25,1,0,0,0,0,0,03/04/2025,07/11/2025,0,9,-8,-8,-0.580643,-252.56,-1.34569411765,0,0,0,0,0,0,-8,-8,0,0,0,0,347.65,0,20.45,3,-0.32,-0.32,-0.31999865529,-0.3518724922,-0.046871312056,0,0,0,0,0,0,-0.32,-0.32,0,0,0,0,1,0,1,0.333333
