,,,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected
OnOff Premises,Account Names,Address,City,State,Zip Code,Phone,Store Num,VIP Outlet ID,Last KARMA entry,Item Names,Classes of Trade,Dist Routes,1 Year 1/1/2026 thru 7/20/2026  Case Equivs,1 Year 1/1/2026 thru 7/20/2026  Units Sold,1 Year 1/1/2026 thru 7/20/2026  Barrel Equivs,1 Year 1/1/2026 thru 7/20/2026  Net Price,1 Year 1/1/2026 thru 7/20/2026  Ave Unit Price,1 Year 1/1/2026 thru 7/20/2026  Did Buys,1 Year 1/1/2026 thru 7/20/2026  Did Buys(All Accts),1 Year 1/1/2026 thru 7/20/2026  Effective Placements,1 Year 1/1/2026 thru 7/20/2026  Effective(All Accts),1 Year 1/1/2026 thru 7/20/2026  Brand Placements,1 Year 1/1/2026 thru 7/20/2026  Brd Placements(All),1 Year 1/1/2026 thru 7/20/2026  ROS per Acct,1 Year 1/1/2026 thru 7/20/2026  ROS per Placement,1 Year 1/1/2026 thru 7/20/2026  Pct Sold,1 Year 1/1/2026 thru 7/20/2026  Authorized Can Buys,1 Year 1/1/2026 thru 7/20/2026  Authorized Acct Gaps,1 Year 1/1/2026 thru 7/20/2026  Authorized Items,1 Year 1/1/2026 thru 7/20/2026  Total F.O.B.,1 Year 1/1/2026 thru 7/20/2026  Authorized Item Gaps,1 Year 1/1/2026 thru 7/20/2026  First Buy Date,1 Year 1/1/2026 thru 7/20/2026  Last Buy Date,1 Year 1/1/2026 thru 7/20/2026  Avg. F.O.B.,1 Year 1/1/2026 thru 7/20/2026  # Purchases,1 Year 1/1/2025 thru 7/18/2025  Case Equivs,1 Year 1/1/2025 thru 7/18/2025  Units Sold,1 Year 1/1/2025 thru 7/18/2025  Barrel Equivs,1 Year 1/1/2025 thru 7/18/2025  Net Price,1 Year 1/1/2025 thru 7/18/2025  Ave Unit Price,1 Year 1/1/2025 thru 7/18/2025  Did Buys,1 Year 1/1/2025 thru 7/18/2025  Did Buys(All Accts),1 Year 1/1/2025 thru 7/18/2025  Effective Placements,1 Year 1/1/2025 thru 7/18/2025  Effective(All Accts),1 Year 1/1/2025 thru 7/18/2025  Brand Placements,1 Year 1/1/2025 thru 7/18/2025  Brd Placements(All),1 Year 1/1/2025 thru 7/18/2025  ROS per Acct,1 Year 1/1/2025 thru 7/18/2025  ROS per Placement,1 Year 1/1/2025 thru 7/18/2025  Pct Sold,1 Year 1/1/2025 thru 7/18/2025  Authorized Can Buys,1 Year 1/1/2025 thru 7/18/2025  Authorized Acct Gaps,1 Year 1/1/2025 thru 7/18/2025  Authorized Items,1 Year 1/1/2025 thru 7/18/2025  Total F.O.B.,1 Year 1/1/2025 thru 7/18/2025  Authorized Item Gaps,1 Year 1/1/2025 thru 7/18/2025  First Buy Date,1 Year 1/1/2025 thru 7/18/2025  Last Buy Date,1 Year 1/1/2025 thru 7/18/2025  Avg. F.O.B.,1 Year 1/1/2025 thru 7/18/2025  # Purchases,Diff  Case Equivs,Diff  Units Sold,Diff  Barrel Equivs,Diff  Net Price,Diff  Ave Unit Price,Diff  Did Buys,Diff  Did Buys(All Accts),Diff  Effective Placements,Diff  Effective(All Accts),Diff  Brand Placements,Diff  Brd Placements(All),Diff  ROS per Acct,Diff  ROS per Placement,Diff  Pct Sold,Diff  Authorized Can Buys,Diff  Authorized Acct Gaps,Diff  Authorized Items,Diff  Total F.O.B.,Diff  Authorized Item Gaps,Diff  Avg. F.O.B.,Diff  # Purchases,Pct  Case Equivs,Pct  Units Sold,Pct  Barrel Equivs,Pct  Net Price,Pct  Ave Unit Price,Pct  Did Buys,Pct  Did Buys(All Accts),Pct  Effective Placements,Pct  Effective(All Accts),Pct  Brand Placements,Pct  Brd Placements(All),Pct  ROS per Acct,Pct  ROS per Placement,Pct  Pct Sold,Pct  Authorized Can Buys,Pct  Authorized Acct Gaps,Pct  Authorized Items,Pct  Total F.O.B.,Pct  Authorized Item Gaps,Pct  Avg. F.O.B.,Pct  # Purchases
OFF,HY VEE WINE & SPIRITS #1215,1400 N HENDERSON,GALESBURG,IL,61401,3093432500,1215,2740781,20251114,Citrus Surfer 2/12/12oz Can,LIQUOR/PACKAGE STORE,"MIKALAH LESSAR 036- G&M Distributors - Galesburg,",11,11,0.798389,363,33,1,1,1,1,1,1,11,11,1,0,0,0,253,0,02/05/2026,06/02/2026,23,9,4,4,0.290324,132,33,1,1,1,1,1,1,4,4,1,0,0,0,0,0,03/20/2025,06/24/2025,0,4,7,7,0.508065,231,0,0,0,0,0,0,0,7,7,0,0,0,0,253,0,23,5,1.75,1.75,1.749993111145,1.75,0,0,0,0,0,0,0,1.75,1.75,0,0,0,0,1,0,1,1.25
OFF,HY VEE WINE & SPIRITS #1215,1400 N HENDERSON,GALESBURG,IL,61401,3093432500,1215,2740781,20251114,Easy Eddy 2/12/12oz Can,LIQUOR/PACKAGE STORE,"MIKALAH LESSAR 036- G&M Distributors - Galesburg,",9,9,0.653228,324,36,1,1,1,1,1,1,9,9,1,0,0,0,225,0,01/06/2026,06/16/2026,25,8,6,6,0.435485,216,36,1,1,1,1,1,1,6,6,1,0,0,0,0,0,01/09/2025,06/26/2025,0,5,3,3,0.217743,108,0,0,0,0,0,0,0,3,3,0,0,0,0,225,0,25,3,0.5,0.5,0.500001148145,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0,1,0.6
OFF,HY VEE WINE & SPIRITS #1215,1400 N HENDERSON,GALESBURG,IL,61401,3093432500,1215,2740781,20251114,Easy Eddy 4/6/12oz Can,LIQUOR/PACKAGE STORE,"MIKALAH LESSAR 036- G&M Distributors - Galesburg,",9,9,0.653229,324,36,1,1,1,1,1,1,9,9,1,0,0,0,225,0,01/06/2026,07/09/2026,25,9,9,9,0.653229,324,36,1,1,1,1,1,1,9,9,1,0,0,0,0,0,01/07/2025,07/10/2025,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
OFF,HY VEE WINE & SPIRITS #1215,1400 N HENDERSON,GALESBURG,IL,61401,3093432500,1215,2740781,20251114,Citrus Surfer 4/6/12oz Can,LIQUOR/PACKAGE STORE,"MIKALAH LESSAR 036- G&M Distributors - Galesburg,",9,9,0.653229,297,33,1,1,1,1,1,1,9,9,1,0,0,0,207,0,02/05/2026,07/09/2026,23,9,4,4,0.290324,132,33,1,1,1,1,1,1,4,4,1,0,0,0,0,0,01/30/2025,06/26/2025,0,4,5,5,0.362905,165,0,0,0,0,0,0,0,5,5,0,0,0,0,207,0,23,5,1.25,1.25,1.25,1.25,0,0,0,0,0,0,0,1.25,1.25,0,0,0,0,1,0,1,1.25
OFF,HY VEE WINE & SPIRITS #1215,1400 N HENDERSON,GALESBURG,IL,61401,3093432500,1215,2740781,20251114,Neighborhood Beer 4/6/12oz Can,LIQUOR/PACKAGE STORE,"MIKALAH LESSAR 036- G&M Distributors - Galesburg,",7,7,0.508067,210,30,1,1,1,1,1,1,7,7,1,0,0,0,143.5,0,02/12/2026,06/30/2026,20.5,7,6,6,0.435486,180,30,1,1,1,1,1,1,6,6,1,0,0,0,0,0,03/20/2025,07/15/2025,0,6,1,1,0.072581,30,0,0,0,0,0,0,0,1,1,0,0,0,0,143.5,0,20.5,1,0.166666666667,0.166666666667,0.166666666667,0.16666666667,0,0,0,0,0,0,0,0.166666666667,0.166666666667,0,0,0,0,1,0,1,0.166667
OFF,HY VEE WINE & SPIRITS #1215,1400 N HENDERSON,GALESBURG,IL,61401,3093432500,1215,2740781,20251114,Zero Eddy 4/6/12oz Can,LIQUOR/PACKAGE STORE,"MIKALAH LESSAR 036- G&M Distributors - Galesburg,",7,7,0.508067,252,36,1,1,1,1,1,1,7,7,1,0,0,0,175,0,01/15/2026,07/16/2026,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,7,7,0.508067,252,36,1,1,1,1,1,1,7,7,1,0,0,0,175,0,25,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE WINE & SPIRITS #1215,1400 N HENDERSON,GALESBURG,IL,61401,3093432500,1215,2740781,20251114,Citrus Surfer Lime 4/6/12oz Can,LIQUOR/PACKAGE STORE,"MIKALAH LESSAR 036- G&M Distributors - Galesburg,",4,4,0.290324,132,33,1,1,1,1,1,1,4,4,1,0,0,0,92,0,05/19/2026,07/16/2026,23,4,5,5,0.362905,165,33,1,1,1,1,1,1,5,5,1,0,0,0,0,0,04/03/2025,07/10/2025,0,5,-1,-1,-0.072581,-33,0,0,0,0,0,0,0,-1,-1,0,0,0,0,92,0,23,-1,-0.2,-0.2,-0.2,-0.2,0,0,0,0,0,0,0,-0.2,-0.2,0,0,0,0,1,0,1,-0.2
OFF,HY VEE WINE & SPIRITS #1215,1400 N HENDERSON,GALESBURG,IL,61401,3093432500,1215,2740781,20251114,Easy Eddy 1/12/19.2 oz Can,LIQUOR/PACKAGE STORE,"MIKALAH LESSAR 036- G&M Distributors - Galesburg,",1.6,2,0.11613,52,26,1,1,1,1,1,1,1.6,1.6,1,0,0,0,0,0,05/19/2026,06/30/2026,0,2,3.2,4,0.23226,104,26,1,1,1,1,1,1,3.2,3.2,1,0,0,0,0,0,02/11/2025,07/08/2025,0,4,-1.6,-2,-0.11613,-52,0,0,0,0,0,0,0,-1.6,-1.6,0,0,0,0,0,0,0,-2,-0.5,-0.5,-0.5,-0.5,0,0,0,0,0,0,0,-0.5,-0.5,0,0,0,0,0,0,0,-0.5
OFF,HY VEE WINE & SPIRITS #1215,1400 N HENDERSON,GALESBURG,IL,61401,3093432500,1215,2740781,20251114,Royal Eddy 4/6/12oz Can,LIQUOR/PACKAGE STORE,"MIKALAH LESSAR 036- G&M Distributors - Galesburg,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,2,2,0.145162,72,36,1,1,1,1,1,1,2,2,1,0,0,0,0,0,01/14/2025,01/30/2025,0,2,-2,-2,-0.145162,-72,-36,-1,-1,-1,-1,-1,-1,-2,-2,-1,0,0,0,0,0,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1
