,,,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected
OnOff Premises,Account Names,Address,City,State,Zip Code,Phone,Store Num,VIP Outlet ID,Last KARMA entry,Item Names,Classes of Trade,Dist Routes,1 Year 1/1/2026 thru 7/19/2026  Case Equivs,1 Year 1/1/2026 thru 7/19/2026  Units Sold,1 Year 1/1/2026 thru 7/19/2026  Barrel Equivs,1 Year 1/1/2026 thru 7/19/2026  Net Price,1 Year 1/1/2026 thru 7/19/2026  Ave Unit Price,1 Year 1/1/2026 thru 7/19/2026  Did Buys,1 Year 1/1/2026 thru 7/19/2026  Did Buys(All Accts),1 Year 1/1/2026 thru 7/19/2026  Effective Placements,1 Year 1/1/2026 thru 7/19/2026  Effective(All Accts),1 Year 1/1/2026 thru 7/19/2026  Brand Placements,1 Year 1/1/2026 thru 7/19/2026  Brd Placements(All),1 Year 1/1/2026 thru 7/19/2026  ROS per Acct,1 Year 1/1/2026 thru 7/19/2026  ROS per Placement,1 Year 1/1/2026 thru 7/19/2026  Pct Sold,1 Year 1/1/2026 thru 7/19/2026  Authorized Can Buys,1 Year 1/1/2026 thru 7/19/2026  Authorized Acct Gaps,1 Year 1/1/2026 thru 7/19/2026  Authorized Items,1 Year 1/1/2026 thru 7/19/2026  Total F.O.B.,1 Year 1/1/2026 thru 7/19/2026  Authorized Item Gaps,1 Year 1/1/2026 thru 7/19/2026  First Buy Date,1 Year 1/1/2026 thru 7/19/2026  Last Buy Date,1 Year 1/1/2026 thru 7/19/2026  Avg. F.O.B.,1 Year 1/1/2026 thru 7/19/2026  # Purchases,1 Year 1/1/2025 thru 7/17/2025  Case Equivs,1 Year 1/1/2025 thru 7/17/2025  Units Sold,1 Year 1/1/2025 thru 7/17/2025  Barrel Equivs,1 Year 1/1/2025 thru 7/17/2025  Net Price,1 Year 1/1/2025 thru 7/17/2025  Ave Unit Price,1 Year 1/1/2025 thru 7/17/2025  Did Buys,1 Year 1/1/2025 thru 7/17/2025  Did Buys(All Accts),1 Year 1/1/2025 thru 7/17/2025  Effective Placements,1 Year 1/1/2025 thru 7/17/2025  Effective(All Accts),1 Year 1/1/2025 thru 7/17/2025  Brand Placements,1 Year 1/1/2025 thru 7/17/2025  Brd Placements(All),1 Year 1/1/2025 thru 7/17/2025  ROS per Acct,1 Year 1/1/2025 thru 7/17/2025  ROS per Placement,1 Year 1/1/2025 thru 7/17/2025  Pct Sold,1 Year 1/1/2025 thru 7/17/2025  Authorized Can Buys,1 Year 1/1/2025 thru 7/17/2025  Authorized Acct Gaps,1 Year 1/1/2025 thru 7/17/2025  Authorized Items,1 Year 1/1/2025 thru 7/17/2025  Total F.O.B.,1 Year 1/1/2025 thru 7/17/2025  Authorized Item Gaps,1 Year 1/1/2025 thru 7/17/2025  First Buy Date,1 Year 1/1/2025 thru 7/17/2025  Last Buy Date,1 Year 1/1/2025 thru 7/17/2025  Avg. F.O.B.,1 Year 1/1/2025 thru 7/17/2025  # Purchases,Diff  Case Equivs,Diff  Units Sold,Diff  Barrel Equivs,Diff  Net Price,Diff  Ave Unit Price,Diff  Did Buys,Diff  Did Buys(All Accts),Diff  Effective Placements,Diff  Effective(All Accts),Diff  Brand Placements,Diff  Brd Placements(All),Diff  ROS per Acct,Diff  ROS per Placement,Diff  Pct Sold,Diff  Authorized Can Buys,Diff  Authorized Acct Gaps,Diff  Authorized Items,Diff  Total F.O.B.,Diff  Authorized Item Gaps,Diff  Avg. F.O.B.,Diff  # Purchases,Pct  Case Equivs,Pct  Units Sold,Pct  Barrel Equivs,Pct  Net Price,Pct  Ave Unit Price,Pct  Did Buys,Pct  Did Buys(All Accts),Pct  Effective Placements,Pct  Effective(All Accts),Pct  Brand Placements,Pct  Brd Placements(All),Pct  ROS per Acct,Pct  ROS per Placement,Pct  Pct Sold,Pct  Authorized Can Buys,Pct  Authorized Acct Gaps,Pct  Authorized Items,Pct  Total F.O.B.,Pct  Authorized Item Gaps,Pct  Avg. F.O.B.,Pct  # Purchases
OFF,HY VEE FOOD STORE #1044,3140 AGENCY ST,BURLINGTON,IA,52601,3197531616,1044,2740896,20260128,Easy Eddy 2/12/12oz Can,SUPERMARKET,"TYLER MOSENA 542- Golden Eagle - Mt Pleasant, IA",63,63,4.572578,2283,36.2380952381,1,1,1,1,1,1,63,63,1,0,0,0,1436.4,0,02/03/2026,07/14/2026,22.8,16,69,69,5.008062,2424,35.13043478261,1,1,1,1,1,1,69,69,1,0,0,0,1573.2,0,01/14/2025,07/01/2025,22.8,15,-6,-6,-0.435484,-141,1.10766045549,0,0,0,0,0,0,-6,-6,0,0,0,0,-136.8,0,0,1,-0.086956521739,-0.086956521739,-0.086956591192,-0.05816831683,0.031529938708,0,0,0,0,0,0,-0.086956521739,-0.086956521739,0,0,0,0,-0.08695652,0,0,0.066667
OFF,HY VEE FOOD STORE #1044,3140 AGENCY ST,BURLINGTON,IA,52601,3197531616,1044,2740896,20260128,Easy Eddy 4/6/12oz Can,SUPERMARKET,"TYLER MOSENA 542- Golden Eagle - Mt Pleasant, IA",42,42,3.048387,1596,38,1,1,1,1,1,1,42,42,1,0,0,0,957.6,0,01/20/2026,07/14/2026,22.8,26,45,45,3.266131,1642.5,36.5,1,1,1,1,1,1,45,45,1,0,0,0,1026,0,01/03/2025,07/15/2025,22.8,29,-3,-3,-0.217744,-46.5,1.5,0,0,0,0,0,0,-3,-3,0,0,0,0,-68.4,0,0,-3,-0.066666666667,-0.066666666667,-0.0666672586,-0.02831050228,0.041095890411,0,0,0,0,0,0,-0.066666666667,-0.066666666667,0,0,0,0,-0.06666667,0,0,-0.103448
OFF,HY VEE FOOD STORE #1044,3140 AGENCY ST,BURLINGTON,IA,52601,3197531616,1044,2740896,20260128,Tigerhawk 1/24/12oz Can,SUPERMARKET,"TYLER MOSENA 542- Golden Eagle - Mt Pleasant, IA",37,37,2.685484,1091.5,29.5,1,1,1,1,1,1,37,37,1,0,0,0,754.8,0,06/09/2026,07/08/2026,20.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,37,37,2.685484,1091.5,29.5,1,1,1,1,1,1,37,37,1,0,0,0,754.8,0,20.4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1044,3140 AGENCY ST,BURLINGTON,IA,52601,3197531616,1044,2740896,20260128,Eddy Variety Pack 2/12/12oz Can,SUPERMARKET,"TYLER MOSENA 542- Golden Eagle - Mt Pleasant, IA",21,21,1.524192,765,36.42857142857,1,1,1,1,1,1,21,21,1,0,0,0,478.8,0,03/03/2026,07/14/2026,22.8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,21,21,1.524192,765,36.42857142857,1,1,1,1,1,1,21,21,1,0,0,0,478.8,0,22.8,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1044,3140 AGENCY ST,BURLINGTON,IA,52601,3197531616,1044,2740896,20260128,Wild Eddy 4/6/12oz Can,SUPERMARKET,"TYLER MOSENA 542- Golden Eagle - Mt Pleasant, IA",18,18,1.306458,684,38,1,1,1,1,1,1,18,18,1,0,0,0,410.4,0,01/20/2026,06/23/2026,22.8,18,14,14,1.016133,511,36.5,1,1,1,1,1,1,14,14,1,0,0,0,319.2,0,03/21/2025,07/11/2025,22.8,13,4,4,0.290325,173,1.5,0,0,0,0,0,0,4,4,0,0,0,0,91.2,0,0,5,0.285714285714,0.285714285714,0.285715551015,0.3385518591,0.041095890411,0,0,0,0,0,0,0.285714285714,0.285714285714,0,0,0,0,0.28571429,0,0,0.384615
OFF,HY VEE FOOD STORE #1044,3140 AGENCY ST,BURLINGTON,IA,52601,3197531616,1044,2740896,20260128,Tigerhawk 2/12/12oz Can,SUPERMARKET,"TYLER MOSENA 542- Golden Eagle - Mt Pleasant, IA",14,14,1.01613,413,29.5,1,1,1,1,1,1,14,14,1,0,0,0,285.6,0,06/09/2026,06/23/2026,20.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,14,14,1.01613,413,29.5,1,1,1,1,1,1,14,14,1,0,0,0,285.6,0,20.4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1044,3140 AGENCY ST,BURLINGTON,IA,52601,3197531616,1044,2740896,20260128,Tigerhawk 4/6/16oz Can,SUPERMARKET,"TYLER MOSENA 542- Golden Eagle - Mt Pleasant, IA",13.333334,10,0.967742,330,33,1,1,1,1,1,1,13.333334,13.333334,1,0,0,0,204,0,06/09/2026,06/30/2026,20.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,13.333334,10,0.967742,330,33,1,1,1,1,1,1,13.333334,13.333334,1,0,0,0,204,0,20.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1044,3140 AGENCY ST,BURLINGTON,IA,52601,3197531616,1044,2740896,20260128,Citrus Surfer 2/12/12oz Can,SUPERMARKET,"TYLER MOSENA 542- Golden Eagle - Mt Pleasant, IA",12,12,0.870968,439.5,36.625,1,1,1,1,1,1,12,12,1,0,0,0,279,0,01/16/2026,07/08/2026,23.25,7,12,12,0.870968,402,33.5,1,1,1,1,1,1,12,12,1,0,0,0,279,0,02/21/2025,07/03/2025,23.25,7,0,0,0,37.5,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09328358209,0.09328358209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF,HY VEE FOOD STORE #1044,3140 AGENCY ST,BURLINGTON,IA,52601,3197531616,1044,2740896,20260128,Zero Eddy 4/6/12oz Can,SUPERMARKET,"TYLER MOSENA 542- Golden Eagle - Mt Pleasant, IA",12,12,0.870971,456,38,1,1,1,1,1,1,12,12,1,0,0,0,273.6,0,01/06/2026,07/14/2026,22.8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,12,12,0.870971,456,38,1,1,1,1,1,1,12,12,1,0,0,0,273.6,0,22.8,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
