,,,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected
OnOff Premises,Account Names,Address,City,State,Zip Code,Phone,Store Num,VIP Outlet ID,Last KARMA entry,Item Names,Classes of Trade,Dist Routes,1 Year 1/1/2026 thru 7/22/2026  Case Equivs,1 Year 1/1/2026 thru 7/22/2026  Units Sold,1 Year 1/1/2026 thru 7/22/2026  Barrel Equivs,1 Year 1/1/2026 thru 7/22/2026  Net Price,1 Year 1/1/2026 thru 7/22/2026  Ave Unit Price,1 Year 1/1/2026 thru 7/22/2026  Did Buys,1 Year 1/1/2026 thru 7/22/2026  Did Buys(All Accts),1 Year 1/1/2026 thru 7/22/2026  Effective Placements,1 Year 1/1/2026 thru 7/22/2026  Effective(All Accts),1 Year 1/1/2026 thru 7/22/2026  Brand Placements,1 Year 1/1/2026 thru 7/22/2026  Brd Placements(All),1 Year 1/1/2026 thru 7/22/2026  ROS per Acct,1 Year 1/1/2026 thru 7/22/2026  ROS per Placement,1 Year 1/1/2026 thru 7/22/2026  Pct Sold,1 Year 1/1/2026 thru 7/22/2026  Authorized Can Buys,1 Year 1/1/2026 thru 7/22/2026  Authorized Acct Gaps,1 Year 1/1/2026 thru 7/22/2026  Authorized Items,1 Year 1/1/2026 thru 7/22/2026  Total F.O.B.,1 Year 1/1/2026 thru 7/22/2026  Authorized Item Gaps,1 Year 1/1/2026 thru 7/22/2026  First Buy Date,1 Year 1/1/2026 thru 7/22/2026  Last Buy Date,1 Year 1/1/2026 thru 7/22/2026  Avg. F.O.B.,1 Year 1/1/2026 thru 7/22/2026  # Purchases,1 Year 1/1/2025 thru 7/22/2025  Case Equivs,1 Year 1/1/2025 thru 7/22/2025  Units Sold,1 Year 1/1/2025 thru 7/22/2025  Barrel Equivs,1 Year 1/1/2025 thru 7/22/2025  Net Price,1 Year 1/1/2025 thru 7/22/2025  Ave Unit Price,1 Year 1/1/2025 thru 7/22/2025  Did Buys,1 Year 1/1/2025 thru 7/22/2025  Did Buys(All Accts),1 Year 1/1/2025 thru 7/22/2025  Effective Placements,1 Year 1/1/2025 thru 7/22/2025  Effective(All Accts),1 Year 1/1/2025 thru 7/22/2025  Brand Placements,1 Year 1/1/2025 thru 7/22/2025  Brd Placements(All),1 Year 1/1/2025 thru 7/22/2025  ROS per Acct,1 Year 1/1/2025 thru 7/22/2025  ROS per Placement,1 Year 1/1/2025 thru 7/22/2025  Pct Sold,1 Year 1/1/2025 thru 7/22/2025  Authorized Can Buys,1 Year 1/1/2025 thru 7/22/2025  Authorized Acct Gaps,1 Year 1/1/2025 thru 7/22/2025  Authorized Items,1 Year 1/1/2025 thru 7/22/2025  Total F.O.B.,1 Year 1/1/2025 thru 7/22/2025  Authorized Item Gaps,1 Year 1/1/2025 thru 7/22/2025  First Buy Date,1 Year 1/1/2025 thru 7/22/2025  Last Buy Date,1 Year 1/1/2025 thru 7/22/2025  Avg. F.O.B.,1 Year 1/1/2025 thru 7/22/2025  # Purchases,Diff  Case Equivs,Diff  Units Sold,Diff  Barrel Equivs,Diff  Net Price,Diff  Ave Unit Price,Diff  Did Buys,Diff  Did Buys(All Accts),Diff  Effective Placements,Diff  Effective(All Accts),Diff  Brand Placements,Diff  Brd Placements(All),Diff  ROS per Acct,Diff  ROS per Placement,Diff  Pct Sold,Diff  Authorized Can Buys,Diff  Authorized Acct Gaps,Diff  Authorized Items,Diff  Total F.O.B.,Diff  Authorized Item Gaps,Diff  Avg. F.O.B.,Diff  # Purchases,Pct  Case Equivs,Pct  Units Sold,Pct  Barrel Equivs,Pct  Net Price,Pct  Ave Unit Price,Pct  Did Buys,Pct  Did Buys(All Accts),Pct  Effective Placements,Pct  Effective(All Accts),Pct  Brand Placements,Pct  Brd Placements(All),Pct  ROS per Acct,Pct  ROS per Placement,Pct  Pct Sold,Pct  Authorized Can Buys,Pct  Authorized Acct Gaps,Pct  Authorized Items,Pct  Total F.O.B.,Pct  Authorized Item Gaps,Pct  Avg. F.O.B.,Pct  # Purchases
OFF,HY VEE FOOD STORE #1875,823 2ND ST,WEBSTER CITY,IA,50595,5158323117,1875,2740931,20251112,Easy Eddy 2/12/12oz Can,SUPERMARKET,"BRANDON RATCLIFF 28- Humes Dist, IA",44,44,3.193549,1613.75,36.67613636364,1,1,1,1,1,1,44,44,1,0,0,0,1111,0,01/05/2026,07/21/2026,25.25,23,4,4,0.290323,151,37.75,1,1,1,1,1,1,4,4,1,0,0,0,101,0,06/13/2025,07/15/2025,25.25,3,40,40,2.903226,1462.75,-1.07386363636,0,0,0,0,0,0,40,40,0,0,0,0,1010,0,0,20,10,10,9.999986222242,9.68708609272,-0.028446718844,0,0,0,0,0,0,10,10,0,0,0,0,10,0,0,6.666667
OFF,HY VEE FOOD STORE #1875,823 2ND ST,WEBSTER CITY,IA,50595,5158323117,1875,2740931,20251112,Easy Eddy 4/6/12oz Can,SUPERMARKET,"BRANDON RATCLIFF 28- Humes Dist, IA",26,26,1.887105,949,36.5,1,1,1,1,1,1,26,26,1,0,0,0,656.5,0,01/02/2026,07/21/2026,25.25,24,12,12,0.870972,441.5,36.79166666667,1,1,1,1,1,1,12,12,1,0,0,0,303,0,02/11/2025,07/03/2025,25.25,12,14,14,1.016133,507.5,-0.29166666667,0,0,0,0,0,0,14,14,0,0,0,0,353.5,0,0,12,1.166666666667,1.166666666667,1.166665518524,1.14949037373,-0.007927519819,0,0,0,0,0,0,1.166666666667,1.166666666667,0,0,0,0,1.16666667,0,0,1
OFF,HY VEE FOOD STORE #1875,823 2ND ST,WEBSTER CITY,IA,50595,5158323117,1875,2740931,20251112,Tigerhawk 2/12/12oz Can,SUPERMARKET,"BRANDON RATCLIFF 28- Humes Dist, IA",15,15,1.088709,439.5,29.3,1,1,1,1,1,1,15,15,1,0,0,0,306,0,06/09/2026,07/21/2026,20.4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,15,15,1.088709,439.5,29.3,1,1,1,1,1,1,15,15,1,0,0,0,306,0,20.4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1875,823 2ND ST,WEBSTER CITY,IA,50595,5158323117,1875,2740931,20251112,Eddy Variety Pack 2/12/12oz Can,SUPERMARKET,"BRANDON RATCLIFF 28- Humes Dist, IA",12,12,0.870969,430.1,35.84166666667,1,1,1,1,1,1,12,12,1,0,0,0,303,0,02/13/2026,07/21/2026,25.25,9,5,5,0.362904,181.75,36.35,1,1,1,1,1,1,5,5,1,0,0,0,126.25,0,06/13/2025,07/18/2025,25.25,4,7,7,0.508065,248.35,-0.50833333333,0,0,0,0,0,0,7,7,0,0,0,0,176.75,0,0,5,1.4,1.4,1.39999834667,1.36643741403,-0.013984410821,0,0,0,0,0,0,1.4,1.4,0,0,0,0,1.4,0,0,1.25
OFF,HY VEE FOOD STORE #1875,823 2ND ST,WEBSTER CITY,IA,50595,5158323117,1875,2740931,20251112,Zero Eddy 4/6/12oz Can,SUPERMARKET,"BRANDON RATCLIFF 28- Humes Dist, IA",4,4,0.290324,146,36.5,1,1,1,1,1,1,4,4,1,0,0,0,101,0,01/02/2026,06/19/2026,25.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,4,4,0.290324,146,36.5,1,1,1,1,1,1,4,4,1,0,0,0,101,0,25.25,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1875,823 2ND ST,WEBSTER CITY,IA,50595,5158323117,1875,2740931,20251112,Citrus Surfer 4/6/12oz Can,SUPERMARKET,"BRANDON RATCLIFF 28- Humes Dist, IA",4,4,0.290324,136,34,1,1,1,1,1,1,4,4,1,0,0,0,93,0,03/03/2026,06/19/2026,23.25,4,6,6,0.435486,204,34,1,1,1,1,1,1,6,6,1,0,0,0,139.5,0,01/07/2025,07/18/2025,23.25,6,-2,-2,-0.145162,-68,0,0,0,0,0,0,0,-2,-2,0,0,0,0,-46.5,0,0,-2,-0.333333333333,-0.333333333333,-0.333333333333,-0.33333333333,0,0,0,0,0,0,0,-0.333333333333,-0.333333333333,0,0,0,0,-0.33333333,0,0,-0.333333
OFF,HY VEE FOOD STORE #1875,823 2ND ST,WEBSTER CITY,IA,50595,5158323117,1875,2740931,20251112,Citrus Surfer Variety Pack 2/12/12oz Can,SUPERMARKET,"BRANDON RATCLIFF 28- Humes Dist, IA",3,3,0.217743,101,33.66666666667,1,1,1,1,1,1,3,3,1,0,0,0,69.75,0,04/17/2026,05/29/2026,23.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,3,3,0.217743,101,33.66666666667,1,1,1,1,1,1,3,3,1,0,0,0,69.75,0,23.25,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1875,823 2ND ST,WEBSTER CITY,IA,50595,5158323117,1875,2740931,20251112,1939 Amber 4/6/12oz Can,SUPERMARKET,"BRANDON RATCLIFF 28- Humes Dist, IA",3,3,0.217743,102,34,1,1,1,1,1,1,3,3,1,0,0,0,69.75,0,04/17/2026,06/05/2026,23.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,3,3,0.217743,102,34,1,1,1,1,1,1,3,3,1,0,0,0,69.75,0,23.25,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1875,823 2ND ST,WEBSTER CITY,IA,50595,5158323117,1875,2740931,20251112,Easy Going 4/6/12oz Can,SUPERMARKET,"BRANDON RATCLIFF 28- Humes Dist, IA",3,3,0.217743,109.5,36.5,1,1,1,1,1,1,3,3,1,0,0,0,75.75,0,04/17/2026,06/05/2026,25.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,3,3,0.217743,109.5,36.5,1,1,1,1,1,1,3,3,1,0,0,0,75.75,0,25.25,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
