,,,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected
OnOff Premises,Account Names,Address,City,State,Zip Code,Phone,Store Num,VIP Outlet ID,Last KARMA entry,Item Names,Classes of Trade,Dist Routes,1 Year 1/1/2026 thru 7/19/2026  Case Equivs,1 Year 1/1/2026 thru 7/19/2026  Units Sold,1 Year 1/1/2026 thru 7/19/2026  Barrel Equivs,1 Year 1/1/2026 thru 7/19/2026  Net Price,1 Year 1/1/2026 thru 7/19/2026  Ave Unit Price,1 Year 1/1/2026 thru 7/19/2026  Did Buys,1 Year 1/1/2026 thru 7/19/2026  Did Buys(All Accts),1 Year 1/1/2026 thru 7/19/2026  Effective Placements,1 Year 1/1/2026 thru 7/19/2026  Effective(All Accts),1 Year 1/1/2026 thru 7/19/2026  Brand Placements,1 Year 1/1/2026 thru 7/19/2026  Brd Placements(All),1 Year 1/1/2026 thru 7/19/2026  ROS per Acct,1 Year 1/1/2026 thru 7/19/2026  ROS per Placement,1 Year 1/1/2026 thru 7/19/2026  Pct Sold,1 Year 1/1/2026 thru 7/19/2026  Authorized Can Buys,1 Year 1/1/2026 thru 7/19/2026  Authorized Acct Gaps,1 Year 1/1/2026 thru 7/19/2026  Authorized Items,1 Year 1/1/2026 thru 7/19/2026  Total F.O.B.,1 Year 1/1/2026 thru 7/19/2026  Authorized Item Gaps,1 Year 1/1/2026 thru 7/19/2026  First Buy Date,1 Year 1/1/2026 thru 7/19/2026  Last Buy Date,1 Year 1/1/2026 thru 7/19/2026  Avg. F.O.B.,1 Year 1/1/2026 thru 7/19/2026  # Purchases,1 Year 1/1/2025 thru 7/17/2025  Case Equivs,1 Year 1/1/2025 thru 7/17/2025  Units Sold,1 Year 1/1/2025 thru 7/17/2025  Barrel Equivs,1 Year 1/1/2025 thru 7/17/2025  Net Price,1 Year 1/1/2025 thru 7/17/2025  Ave Unit Price,1 Year 1/1/2025 thru 7/17/2025  Did Buys,1 Year 1/1/2025 thru 7/17/2025  Did Buys(All Accts),1 Year 1/1/2025 thru 7/17/2025  Effective Placements,1 Year 1/1/2025 thru 7/17/2025  Effective(All Accts),1 Year 1/1/2025 thru 7/17/2025  Brand Placements,1 Year 1/1/2025 thru 7/17/2025  Brd Placements(All),1 Year 1/1/2025 thru 7/17/2025  ROS per Acct,1 Year 1/1/2025 thru 7/17/2025  ROS per Placement,1 Year 1/1/2025 thru 7/17/2025  Pct Sold,1 Year 1/1/2025 thru 7/17/2025  Authorized Can Buys,1 Year 1/1/2025 thru 7/17/2025  Authorized Acct Gaps,1 Year 1/1/2025 thru 7/17/2025  Authorized Items,1 Year 1/1/2025 thru 7/17/2025  Total F.O.B.,1 Year 1/1/2025 thru 7/17/2025  Authorized Item Gaps,1 Year 1/1/2025 thru 7/17/2025  First Buy Date,1 Year 1/1/2025 thru 7/17/2025  Last Buy Date,1 Year 1/1/2025 thru 7/17/2025  Avg. F.O.B.,1 Year 1/1/2025 thru 7/17/2025  # Purchases,Diff  Case Equivs,Diff  Units Sold,Diff  Barrel Equivs,Diff  Net Price,Diff  Ave Unit Price,Diff  Did Buys,Diff  Did Buys(All Accts),Diff  Effective Placements,Diff  Effective(All Accts),Diff  Brand Placements,Diff  Brd Placements(All),Diff  ROS per Acct,Diff  ROS per Placement,Diff  Pct Sold,Diff  Authorized Can Buys,Diff  Authorized Acct Gaps,Diff  Authorized Items,Diff  Total F.O.B.,Diff  Authorized Item Gaps,Diff  Avg. F.O.B.,Diff  # Purchases,Pct  Case Equivs,Pct  Units Sold,Pct  Barrel Equivs,Pct  Net Price,Pct  Ave Unit Price,Pct  Did Buys,Pct  Did Buys(All Accts),Pct  Effective Placements,Pct  Effective(All Accts),Pct  Brand Placements,Pct  Brd Placements(All),Pct  ROS per Acct,Pct  ROS per Placement,Pct  Pct Sold,Pct  Authorized Can Buys,Pct  Authorized Acct Gaps,Pct  Authorized Items,Pct  Total F.O.B.,Pct  Authorized Item Gaps,Pct  Avg. F.O.B.,Pct  # Purchases
OFF,HY VEE FOOD STORE #1051,905 HWY 30 W,CARROLL,IA,51401,7127926333,1051,2740912,0,Easy Eddy 2/12/12oz Can,SUPERMARKET,"BEN BEHRENS 01- Ike Auen Dist, IA",51,51,3.701613,1786.25,35.02450980392,1,1,1,1,1,1,51,51,1,0,0,0,1287.75,0,01/02/2026,07/03/2026,25.25,18,23,23,1.669353,820.25,35.66304347826,1,1,1,1,1,1,23,23,1,0,0,0,580.75,0,01/21/2025,06/30/2025,25.25,11,28,28,2.03226,966,-0.63853367434,0,0,0,0,0,0,28,28,0,0,0,0,707,0,0,7,1.217391304348,1.217391304348,1.217393804666,1.17768972874,-0.017904632136,0,0,0,0,0,0,1.217391304348,1.217391304348,0,0,0,0,1.2173913,0,0,0.636364
OFF,HY VEE FOOD STORE #1051,905 HWY 30 W,CARROLL,IA,51401,7127926333,1051,2740912,0,Easy Eddy 4/6/12oz Can,SUPERMARKET,"BEN BEHRENS 01- Ike Auen Dist, IA",16,16,1.161294,584,36.5,1,1,1,1,1,1,16,16,1,0,0,0,404,0,01/02/2026,07/14/2026,25.25,14,16,16,1.161294,584,36.5,1,1,1,1,1,1,16,16,1,0,0,0,404,0,01/21/2025,07/03/2025,25.25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF,HY VEE FOOD STORE #1051,905 HWY 30 W,CARROLL,IA,51401,7127926333,1051,2740912,0,Tigerhawk 2/12/12oz Can,SUPERMARKET,"BEN BEHRENS 01- Ike Auen Dist, IA",10,10,0.725806,282.5,28.25,1,1,1,1,1,1,10,10,1,0,0,0,204,0,06/19/2026,07/07/2026,20.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,10,10,0.725806,282.5,28.25,1,1,1,1,1,1,10,10,1,0,0,0,204,0,20.4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1051,905 HWY 30 W,CARROLL,IA,51401,7127926333,1051,2740912,0,Eddy Variety Pack 2/12/12oz Can,SUPERMARKET,"BEN BEHRENS 01- Ike Auen Dist, IA",8,8,0.580647,283.25,35.40625,1,1,1,1,1,1,8,8,1,0,0,0,202,0,01/02/2026,05/15/2026,25.25,7,14,14,1.016128,500.5,35.75,1,1,1,1,1,1,14,14,1,0,0,0,353.5,0,01/14/2025,06/10/2025,25.25,8,-6,-6,-0.435481,-217.25,-0.34375,0,0,0,0,0,0,-6,-6,0,0,0,0,-151.5,0,0,-1,-0.428571428571,-0.428571428571,-0.428569038546,-0.43406593407,-0.009615384615,0,0,0,0,0,0,-0.428571428571,-0.428571428571,0,0,0,0,-0.42857143,0,0,-0.125
OFF,HY VEE FOOD STORE #1051,905 HWY 30 W,CARROLL,IA,51401,7127926333,1051,2740912,0,Citrus Surfer 2/12/12oz Can,SUPERMARKET,"BEN BEHRENS 01- Ike Auen Dist, IA",7,7,0.508066,231,33,1,1,1,1,1,1,7,7,1,0,0,0,162.75,0,02/10/2026,06/30/2026,23.25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,7,7,0.508066,231,33,1,1,1,1,1,1,7,7,1,0,0,0,162.75,0,23.25,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1051,905 HWY 30 W,CARROLL,IA,51401,7127926333,1051,2740912,0,Royal Eddy 4/6/12oz Can,SUPERMARKET,"BEN BEHRENS 01- Ike Auen Dist, IA",5,5,0.362905,197.5,39.5,1,1,1,1,1,1,5,5,1,0,0,0,126.25,0,01/22/2026,06/26/2026,25.25,5,1,1,0.072581,39.5,39.5,1,1,1,1,1,1,1,1,1,0,0,0,25.25,0,03/04/2025,03/14/2025,25.25,2,4,4,0.290324,158,0,0,0,0,0,0,0,4,4,0,0,0,0,101,0,0,3,4,4,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,1.5
OFF,HY VEE FOOD STORE #1051,905 HWY 30 W,CARROLL,IA,51401,7127926333,1051,2740912,0,Citrus Surfer Variety Pack 2/12/12oz Can,SUPERMARKET,"BEN BEHRENS 01- Ike Auen Dist, IA",5,5,0.362905,167.5,33.5,1,1,1,1,1,1,5,5,1,0,0,0,116.25,0,02/17/2026,07/03/2026,23.25,5,4,4,0.290323,134,33.5,1,1,1,1,1,1,4,4,1,0,0,0,93,0,05/30/2025,07/08/2025,23.25,3,1,1,0.072582,33.5,0,0,0,0,0,0,0,1,1,0,0,0,0,23.25,0,0,2,0.25,0.25,0.250004305549,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0.666667
OFF,HY VEE FOOD STORE #1051,905 HWY 30 W,CARROLL,IA,51401,7127926333,1051,2740912,0,Citrus Surfer 4/6/12oz Can,SUPERMARKET,"BEN BEHRENS 01- Ike Auen Dist, IA",5,5,0.362905,167.5,33.5,1,1,1,1,1,1,5,5,1,0,0,0,116.25,0,01/13/2026,06/19/2026,23.25,5,5,5,0.362905,167.5,33.5,1,1,1,1,1,1,5,5,1,0,0,0,116.25,0,02/18/2025,07/03/2025,23.25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF,HY VEE FOOD STORE #1051,905 HWY 30 W,CARROLL,IA,51401,7127926333,1051,2740912,0,Citrus Surfer Lime 4/6/12oz Can,SUPERMARKET,"BEN BEHRENS 01- Ike Auen Dist, IA",4,4,0.290324,146,36.5,1,1,1,1,1,1,4,4,1,0,0,0,93,0,03/06/2026,06/23/2026,23.25,4,4,4,0.290324,146,36.5,1,1,1,1,1,1,4,4,1,0,0,0,93,0,03/21/2025,07/03/2025,23.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
