,,,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected
OnOff Premises,Account Names,Address,City,State,Zip Code,Phone,Store Num,VIP Outlet ID,Last KARMA entry,Item Names,Classes of Trade,Dist Routes,1 Year 1/1/2026 thru 7/20/2026  Case Equivs,1 Year 1/1/2026 thru 7/20/2026  Units Sold,1 Year 1/1/2026 thru 7/20/2026  Barrel Equivs,1 Year 1/1/2026 thru 7/20/2026  Net Price,1 Year 1/1/2026 thru 7/20/2026  Ave Unit Price,1 Year 1/1/2026 thru 7/20/2026  Did Buys,1 Year 1/1/2026 thru 7/20/2026  Did Buys(All Accts),1 Year 1/1/2026 thru 7/20/2026  Effective Placements,1 Year 1/1/2026 thru 7/20/2026  Effective(All Accts),1 Year 1/1/2026 thru 7/20/2026  Brand Placements,1 Year 1/1/2026 thru 7/20/2026  Brd Placements(All),1 Year 1/1/2026 thru 7/20/2026  ROS per Acct,1 Year 1/1/2026 thru 7/20/2026  ROS per Placement,1 Year 1/1/2026 thru 7/20/2026  Pct Sold,1 Year 1/1/2026 thru 7/20/2026  Authorized Can Buys,1 Year 1/1/2026 thru 7/20/2026  Authorized Acct Gaps,1 Year 1/1/2026 thru 7/20/2026  Authorized Items,1 Year 1/1/2026 thru 7/20/2026  Total F.O.B.,1 Year 1/1/2026 thru 7/20/2026  Authorized Item Gaps,1 Year 1/1/2026 thru 7/20/2026  First Buy Date,1 Year 1/1/2026 thru 7/20/2026  Last Buy Date,1 Year 1/1/2026 thru 7/20/2026  Avg. F.O.B.,1 Year 1/1/2026 thru 7/20/2026  # Purchases,1 Year 1/1/2025 thru 7/18/2025  Case Equivs,1 Year 1/1/2025 thru 7/18/2025  Units Sold,1 Year 1/1/2025 thru 7/18/2025  Barrel Equivs,1 Year 1/1/2025 thru 7/18/2025  Net Price,1 Year 1/1/2025 thru 7/18/2025  Ave Unit Price,1 Year 1/1/2025 thru 7/18/2025  Did Buys,1 Year 1/1/2025 thru 7/18/2025  Did Buys(All Accts),1 Year 1/1/2025 thru 7/18/2025  Effective Placements,1 Year 1/1/2025 thru 7/18/2025  Effective(All Accts),1 Year 1/1/2025 thru 7/18/2025  Brand Placements,1 Year 1/1/2025 thru 7/18/2025  Brd Placements(All),1 Year 1/1/2025 thru 7/18/2025  ROS per Acct,1 Year 1/1/2025 thru 7/18/2025  ROS per Placement,1 Year 1/1/2025 thru 7/18/2025  Pct Sold,1 Year 1/1/2025 thru 7/18/2025  Authorized Can Buys,1 Year 1/1/2025 thru 7/18/2025  Authorized Acct Gaps,1 Year 1/1/2025 thru 7/18/2025  Authorized Items,1 Year 1/1/2025 thru 7/18/2025  Total F.O.B.,1 Year 1/1/2025 thru 7/18/2025  Authorized Item Gaps,1 Year 1/1/2025 thru 7/18/2025  First Buy Date,1 Year 1/1/2025 thru 7/18/2025  Last Buy Date,1 Year 1/1/2025 thru 7/18/2025  Avg. F.O.B.,1 Year 1/1/2025 thru 7/18/2025  # Purchases,Diff  Case Equivs,Diff  Units Sold,Diff  Barrel Equivs,Diff  Net Price,Diff  Ave Unit Price,Diff  Did Buys,Diff  Did Buys(All Accts),Diff  Effective Placements,Diff  Effective(All Accts),Diff  Brand Placements,Diff  Brd Placements(All),Diff  ROS per Acct,Diff  ROS per Placement,Diff  Pct Sold,Diff  Authorized Can Buys,Diff  Authorized Acct Gaps,Diff  Authorized Items,Diff  Total F.O.B.,Diff  Authorized Item Gaps,Diff  Avg. F.O.B.,Diff  # Purchases,Pct  Case Equivs,Pct  Units Sold,Pct  Barrel Equivs,Pct  Net Price,Pct  Ave Unit Price,Pct  Did Buys,Pct  Did Buys(All Accts),Pct  Effective Placements,Pct  Effective(All Accts),Pct  Brand Placements,Pct  Brd Placements(All),Pct  ROS per Acct,Pct  ROS per Placement,Pct  Pct Sold,Pct  Authorized Can Buys,Pct  Authorized Acct Gaps,Pct  Authorized Items,Pct  Total F.O.B.,Pct  Authorized Item Gaps,Pct  Avg. F.O.B.,Pct  # Purchases
OFF,HY VEE FOOD STORE #1410,2400 4TH ST SW,MASON CITY,IA,50401,6414242605,1410,2740945,20260527,Easy Eddy 2/12/12oz Can,SUPERMARKET,"LEE DODGE 01- Kabrick Dist, IA",21,21,1.524198,766.5,36.5,1,1,1,1,1,1,21,21,1,0,0,0,532.35,0,01/02/2026,07/17/2026,25.35,18,17,17,1.233877,620.5,36.5,1,1,1,1,1,1,17,17,1,0,0,0,430.95,0,01/31/2025,07/16/2025,25.35,17,4,4,0.290321,146,0,0,0,0,0,0,0,4,4,0,0,0,0,101.4,0,0,1,0.235294117647,0.235294117647,0.235291686286,0.23529411765,0,0,0,0,0,0,0,0.235294117647,0.235294117647,0,0,0,0,0.23529412,0,0,0.058824
OFF,HY VEE FOOD STORE #1410,2400 4TH ST SW,MASON CITY,IA,50401,6414242605,1410,2740945,20260527,Easy Eddy 4/6/12oz Can,SUPERMARKET,"LEE DODGE 01- Kabrick Dist, IA",18,18,1.306458,657,36.5,1,1,1,1,1,1,18,18,1,0,0,0,456.3,0,01/07/2026,07/15/2026,25.35,18,15,15,1.088715,547.5,36.5,1,1,1,1,1,1,15,15,1,0,0,0,380.25,0,01/08/2025,07/09/2025,25.35,15,3,3,0.217743,109.5,0,0,0,0,0,0,0,3,3,0,0,0,0,76.05,0,0,3,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0,0,0.2
OFF,HY VEE FOOD STORE #1410,2400 4TH ST SW,MASON CITY,IA,50401,6414242605,1410,2740945,20260527,Tigerhawk 1/24/12oz Can,SUPERMARKET,"LEE DODGE 01- Kabrick Dist, IA",15,15,1.088709,439,29.26666666667,1,1,1,1,1,1,15,15,1,0,0,0,306,0,06/24/2026,07/15/2026,20.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,15,15,1.088709,439,29.26666666667,1,1,1,1,1,1,15,15,1,0,0,0,306,0,20.4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1410,2400 4TH ST SW,MASON CITY,IA,50401,6414242605,1410,2740945,20260527,Easy Eddy 6/4/16oz Can,SUPERMARKET,"LEE DODGE 01- Kabrick Dist, IA",11.999997,9,0.870966,402.75,44.75,1,1,1,1,1,1,11.999997,11.999997,1,0,0,0,0,0,01/21/2026,07/08/2026,0,9,10.666664,8,0.774192,358,44.75,1,1,1,1,1,1,10.666664,10.666664,1,0,0,0,0,0,01/08/2025,07/01/2025,0,8,1.333333,1,0.096774,44.75,0,0,0,0,0,0,0,1.333333,1.333333,0,0,0,0,0,0,0,1,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0,0.125
OFF,HY VEE FOOD STORE #1410,2400 4TH ST SW,MASON CITY,IA,50401,6414242605,1410,2740945,20260527,Eddy Variety Pack 2/12/12oz Can,SUPERMARKET,"LEE DODGE 01- Kabrick Dist, IA",11,11,0.798388,401.5,36.5,1,1,1,1,1,1,11,11,1,0,0,0,278.85,0,01/28/2026,07/15/2026,25.35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,11,11,0.798388,401.5,36.5,1,1,1,1,1,1,11,11,1,0,0,0,278.85,0,25.35,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1410,2400 4TH ST SW,MASON CITY,IA,50401,6414242605,1410,2740945,20260527,Tigerhawk 2/12/12oz Can,SUPERMARKET,"LEE DODGE 01- Kabrick Dist, IA",10,10,0.725806,282.5,28.25,1,1,1,1,1,1,10,10,1,0,0,0,204,0,07/01/2026,07/01/2026,20.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,10,10,0.725806,282.5,28.25,1,1,1,1,1,1,10,10,1,0,0,0,204,0,20.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1410,2400 4TH ST SW,MASON CITY,IA,50401,6414242605,1410,2740945,20260527,Citrus Surfer Variety Pack 2/12/12oz Can,SUPERMARKET,"LEE DODGE 01- Kabrick Dist, IA",6,6,0.435486,201,33.5,1,1,1,1,1,1,6,6,1,0,0,0,138.9,0,01/21/2026,07/15/2026,23.15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,6,6,0.435486,201,33.5,1,1,1,1,1,1,6,6,1,0,0,0,138.9,0,23.15,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1410,2400 4TH ST SW,MASON CITY,IA,50401,6414242605,1410,2740945,20260527,Tigerhawk 4/6/16oz Can,SUPERMARKET,"LEE DODGE 01- Kabrick Dist, IA",5.333332,4,0.387096,125.2,31.3,1,1,1,1,1,1,5.333332,5.333332,1,0,0,0,81.6,0,06/24/2026,07/10/2026,20.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,5.333332,4,0.387096,125.2,31.3,1,1,1,1,1,1,5.333332,5.333332,1,0,0,0,81.6,0,20.4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1410,2400 4TH ST SW,MASON CITY,IA,50401,6414242605,1410,2740945,20260527,1939 Amber 4/6/12oz Can,SUPERMARKET,"LEE DODGE 01- Kabrick Dist, IA",5,5,0.362905,167.5,33.5,1,1,1,1,1,1,5,5,1,0,0,0,115.75,0,02/04/2026,07/08/2026,23.15,5,5,5,0.362905,167.5,33.5,1,1,1,1,1,1,5,5,1,0,0,0,115.75,0,03/12/2025,06/11/2025,23.15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
