,,,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected
OnOff Premises,Account Names,Address,City,State,Zip Code,Phone,Store Num,VIP Outlet ID,Last KARMA entry,Item Names,Classes of Trade,Dist Routes,1 Year 1/1/2026 thru 7/15/2026  Case Equivs,1 Year 1/1/2026 thru 7/15/2026  Units Sold,1 Year 1/1/2026 thru 7/15/2026  Barrel Equivs,1 Year 1/1/2026 thru 7/15/2026  Net Price,1 Year 1/1/2026 thru 7/15/2026  Ave Unit Price,1 Year 1/1/2026 thru 7/15/2026  Did Buys,1 Year 1/1/2026 thru 7/15/2026  Did Buys(All Accts),1 Year 1/1/2026 thru 7/15/2026  Effective Placements,1 Year 1/1/2026 thru 7/15/2026  Effective(All Accts),1 Year 1/1/2026 thru 7/15/2026  Brand Placements,1 Year 1/1/2026 thru 7/15/2026  Brd Placements(All),1 Year 1/1/2026 thru 7/15/2026  ROS per Acct,1 Year 1/1/2026 thru 7/15/2026  ROS per Placement,1 Year 1/1/2026 thru 7/15/2026  Pct Sold,1 Year 1/1/2026 thru 7/15/2026  Authorized Can Buys,1 Year 1/1/2026 thru 7/15/2026  Authorized Acct Gaps,1 Year 1/1/2026 thru 7/15/2026  Authorized Items,1 Year 1/1/2026 thru 7/15/2026  Total F.O.B.,1 Year 1/1/2026 thru 7/15/2026  Authorized Item Gaps,1 Year 1/1/2026 thru 7/15/2026  First Buy Date,1 Year 1/1/2026 thru 7/15/2026  Last Buy Date,1 Year 1/1/2026 thru 7/15/2026  Avg. F.O.B.,1 Year 1/1/2026 thru 7/15/2026  # Purchases,1 Year 1/1/2025 thru 7/15/2025  Case Equivs,1 Year 1/1/2025 thru 7/15/2025  Units Sold,1 Year 1/1/2025 thru 7/15/2025  Barrel Equivs,1 Year 1/1/2025 thru 7/15/2025  Net Price,1 Year 1/1/2025 thru 7/15/2025  Ave Unit Price,1 Year 1/1/2025 thru 7/15/2025  Did Buys,1 Year 1/1/2025 thru 7/15/2025  Did Buys(All Accts),1 Year 1/1/2025 thru 7/15/2025  Effective Placements,1 Year 1/1/2025 thru 7/15/2025  Effective(All Accts),1 Year 1/1/2025 thru 7/15/2025  Brand Placements,1 Year 1/1/2025 thru 7/15/2025  Brd Placements(All),1 Year 1/1/2025 thru 7/15/2025  ROS per Acct,1 Year 1/1/2025 thru 7/15/2025  ROS per Placement,1 Year 1/1/2025 thru 7/15/2025  Pct Sold,1 Year 1/1/2025 thru 7/15/2025  Authorized Can Buys,1 Year 1/1/2025 thru 7/15/2025  Authorized Acct Gaps,1 Year 1/1/2025 thru 7/15/2025  Authorized Items,1 Year 1/1/2025 thru 7/15/2025  Total F.O.B.,1 Year 1/1/2025 thru 7/15/2025  Authorized Item Gaps,1 Year 1/1/2025 thru 7/15/2025  First Buy Date,1 Year 1/1/2025 thru 7/15/2025  Last Buy Date,1 Year 1/1/2025 thru 7/15/2025  Avg. F.O.B.,1 Year 1/1/2025 thru 7/15/2025  # Purchases,Diff  Case Equivs,Diff  Units Sold,Diff  Barrel Equivs,Diff  Net Price,Diff  Ave Unit Price,Diff  Did Buys,Diff  Did Buys(All Accts),Diff  Effective Placements,Diff  Effective(All Accts),Diff  Brand Placements,Diff  Brd Placements(All),Diff  ROS per Acct,Diff  ROS per Placement,Diff  Pct Sold,Diff  Authorized Can Buys,Diff  Authorized Acct Gaps,Diff  Authorized Items,Diff  Total F.O.B.,Diff  Authorized Item Gaps,Diff  Avg. F.O.B.,Diff  # Purchases,Pct  Case Equivs,Pct  Units Sold,Pct  Barrel Equivs,Pct  Net Price,Pct  Ave Unit Price,Pct  Did Buys,Pct  Did Buys(All Accts),Pct  Effective Placements,Pct  Effective(All Accts),Pct  Brand Placements,Pct  Brd Placements(All),Pct  ROS per Acct,Pct  ROS per Placement,Pct  Pct Sold,Pct  Authorized Can Buys,Pct  Authorized Acct Gaps,Pct  Authorized Items,Pct  Total F.O.B.,Pct  Authorized Item Gaps,Pct  Avg. F.O.B.,Pct  # Purchases
OFF,HY VEE FOOD STORE #1610,2827 HAMILTON BLVD,SIOUX CITY,IA,51104,7122778120,1610,2740909,20260313,Easy Eddy 2/12/12oz Can,SUPERMARKET,"ARIC REYNOLDS 22- L&L Dist, IA",40,40,2.903228,1439,35.975,1,1,1,1,1,1,40,40,1,0,0,0,1010,0,01/15/2026,07/14/2026,25.25,20,18,18,1.306454,657,36.5,1,1,1,1,1,1,18,18,1,0,0,0,454.5,0,01/21/2025,07/08/2025,25.25,14,22,22,1.596774,782,-0.525,0,0,0,0,0,0,22,22,0,0,0,0,555.5,0,0,6,1.222222222222,1.222222222222,1.222219840882,1.1902587519,-0.014383561644,0,0,0,0,0,0,1.222222222222,1.222222222222,0,0,0,0,1.22222222,0,0,0.428571
OFF,HY VEE FOOD STORE #1610,2827 HAMILTON BLVD,SIOUX CITY,IA,51104,7122778120,1610,2740909,20260313,Eddy Variety Pack 2/12/12oz Can,SUPERMARKET,"ARIC REYNOLDS 22- L&L Dist, IA",34,34,2.467743,1227,36.08823529412,1,1,1,1,1,1,34,34,1,0,0,0,858.5,0,01/15/2026,07/14/2026,25.25,22,11,11,0.79839,401.5,36.5,1,1,1,1,1,1,11,11,1,0,0,0,277.75,0,01/23/2025,07/08/2025,25.25,10,23,23,1.669353,825.5,-0.41176470588,0,0,0,0,0,0,23,23,0,0,0,0,580.75,0,0,12,2.090909090909,2.090909090909,2.090899184609,2.05603985056,-0.011281224819,0,0,0,0,0,0,2.090909090909,2.090909090909,0,0,0,0,2.09090909,0,0,1.2
OFF,HY VEE FOOD STORE #1610,2827 HAMILTON BLVD,SIOUX CITY,IA,51104,7122778120,1610,2740909,20260313,Easy Eddy 4/6/12oz Can,SUPERMARKET,"ARIC REYNOLDS 22- L&L Dist, IA",19,19,1.379037,693.5,36.5,1,1,1,1,1,1,19,19,1,0,0,0,479.75,0,01/02/2026,07/07/2026,25.25,15,23,23,1.66936,839.5,36.5,1,1,1,1,1,1,23,23,1,0,0,0,580.75,0,01/07/2025,06/26/2025,25.25,16,-4,-4,-0.290323,-146,0,0,0,0,0,0,0,-4,-4,0,0,0,0,-101,0,0,-1,-0.173913043478,-0.173913043478,-0.173912756985,-0.17391304348,0,0,0,0,0,0,0,-0.173913043478,-0.173913043478,0,0,0,0,-0.17391304,0,0,-0.0625
OFF,HY VEE FOOD STORE #1610,2827 HAMILTON BLVD,SIOUX CITY,IA,51104,7122778120,1610,2740909,20260313,Citrus Surfer 2/12/12oz Can,SUPERMARKET,"ARIC REYNOLDS 22- L&L Dist, IA",15,15,1.088714,538.75,35.91666666667,1,1,1,1,1,1,15,15,1,0,0,0,348.75,0,01/06/2026,07/14/2026,23.25,14,4,4,0.290324,146,36.5,1,1,1,1,1,1,4,4,1,0,0,0,93,0,02/11/2025,07/02/2025,23.25,4,11,11,0.79839,392.75,-0.58333333333,0,0,0,0,0,0,11,11,0,0,0,0,255.75,0,0,10,2.75,2.75,2.749996555572,2.69006849315,-0.01598173516,0,0,0,0,0,0,2.75,2.75,0,0,0,0,2.75,0,0,2.5
OFF,HY VEE FOOD STORE #1610,2827 HAMILTON BLVD,SIOUX CITY,IA,51104,7122778120,1610,2740909,20260313,Citrus Surfer 4/6/12oz Can,SUPERMARKET,"ARIC REYNOLDS 22- L&L Dist, IA",14,14,1.01613,469,33.5,1,1,1,1,1,1,14,14,1,0,0,0,325.5,0,01/15/2026,07/07/2026,23.25,4,4,4,0.290324,134,33.5,1,1,1,1,1,1,4,4,1,0,0,0,93,0,02/11/2025,06/30/2025,23.25,4,10,10,0.725806,335,0,0,0,0,0,0,0,10,10,0,0,0,0,232.5,0,0,0,2.5,2.5,2.49998622229,2.5,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,2.5,0,0,0
OFF,HY VEE FOOD STORE #1610,2827 HAMILTON BLVD,SIOUX CITY,IA,51104,7122778120,1610,2740909,20260313,Tigerhawk 2/12/12oz Can,SUPERMARKET,"ARIC REYNOLDS 22- L&L Dist, IA",10,10,0.725806,282.5,28.25,1,1,1,1,1,1,10,10,1,0,0,0,204,0,06/09/2026,06/09/2026,20.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,10,10,0.725806,282.5,28.25,1,1,1,1,1,1,10,10,1,0,0,0,204,0,20.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1610,2827 HAMILTON BLVD,SIOUX CITY,IA,51104,7122778120,1610,2740909,20260313,Neighborhood Beer 4/6/12oz Can,SUPERMARKET,"ARIC REYNOLDS 22- L&L Dist, IA",10,10,0.72581,300,30,1,1,1,1,1,1,10,10,1,0,0,0,204,0,01/29/2026,07/14/2026,20.4,10,5,5,0.362905,150,30,1,1,1,1,1,1,5,5,1,0,0,0,0,0,04/24/2025,07/08/2025,0,5,5,5,0.362905,150,0,0,0,0,0,0,0,5,5,0,0,0,0,204,0,20.4,5,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1610,2827 HAMILTON BLVD,SIOUX CITY,IA,51104,7122778120,1610,2740909,20260313,Zero Eddy 4/6/12oz Can,SUPERMARKET,"ARIC REYNOLDS 22- L&L Dist, IA",7,7,0.508065,255.5,36.5,1,1,1,1,1,1,7,7,1,0,0,0,176.75,0,03/05/2026,07/02/2026,25.25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,7,7,0.508065,255.5,36.5,1,1,1,1,1,1,7,7,1,0,0,0,176.75,0,25.25,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,HY VEE FOOD STORE #1610,2827 HAMILTON BLVD,SIOUX CITY,IA,51104,7122778120,1610,2740909,20260313,Royal Eddy 4/6/12oz Can,SUPERMARKET,"ARIC REYNOLDS 22- L&L Dist, IA",7,7,0.508067,255.5,36.5,1,1,1,1,1,1,7,7,1,0,0,0,176.75,0,02/10/2026,07/14/2026,25.25,7,3,3,0.217743,112.5,37.5,1,1,1,1,1,1,3,3,1,0,0,0,75.75,0,01/16/2025,03/25/2025,25.25,3,4,4,0.290324,143,-1,0,0,0,0,0,0,4,4,0,0,0,0,101,0,0,4,1.333333333333,1.333333333333,1.333333333333,1.27111111111,-0.026666666667,0,0,0,0,0,0,1.333333333333,1.333333333333,0,0,0,0,1.33333333,0,0,1.333333
