,,,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected
OnOff Premises,Account Names,Address,City,State,Zip Code,Phone,Store Num,VIP Outlet ID,Last KARMA entry,Item Names,Classes of Trade,Dist Routes,1 Year 1/1/2026 thru 7/22/2026  Case Equivs,1 Year 1/1/2026 thru 7/22/2026  Units Sold,1 Year 1/1/2026 thru 7/22/2026  Barrel Equivs,1 Year 1/1/2026 thru 7/22/2026  Net Price,1 Year 1/1/2026 thru 7/22/2026  Ave Unit Price,1 Year 1/1/2026 thru 7/22/2026  Did Buys,1 Year 1/1/2026 thru 7/22/2026  Did Buys(All Accts),1 Year 1/1/2026 thru 7/22/2026  Effective Placements,1 Year 1/1/2026 thru 7/22/2026  Effective(All Accts),1 Year 1/1/2026 thru 7/22/2026  Brand Placements,1 Year 1/1/2026 thru 7/22/2026  Brd Placements(All),1 Year 1/1/2026 thru 7/22/2026  ROS per Acct,1 Year 1/1/2026 thru 7/22/2026  ROS per Placement,1 Year 1/1/2026 thru 7/22/2026  Pct Sold,1 Year 1/1/2026 thru 7/22/2026  Authorized Can Buys,1 Year 1/1/2026 thru 7/22/2026  Authorized Acct Gaps,1 Year 1/1/2026 thru 7/22/2026  Authorized Items,1 Year 1/1/2026 thru 7/22/2026  Total F.O.B.,1 Year 1/1/2026 thru 7/22/2026  Authorized Item Gaps,1 Year 1/1/2026 thru 7/22/2026  First Buy Date,1 Year 1/1/2026 thru 7/22/2026  Last Buy Date,1 Year 1/1/2026 thru 7/22/2026  Avg. F.O.B.,1 Year 1/1/2026 thru 7/22/2026  # Purchases,1 Year 1/1/2025 thru 7/22/2025  Case Equivs,1 Year 1/1/2025 thru 7/22/2025  Units Sold,1 Year 1/1/2025 thru 7/22/2025  Barrel Equivs,1 Year 1/1/2025 thru 7/22/2025  Net Price,1 Year 1/1/2025 thru 7/22/2025  Ave Unit Price,1 Year 1/1/2025 thru 7/22/2025  Did Buys,1 Year 1/1/2025 thru 7/22/2025  Did Buys(All Accts),1 Year 1/1/2025 thru 7/22/2025  Effective Placements,1 Year 1/1/2025 thru 7/22/2025  Effective(All Accts),1 Year 1/1/2025 thru 7/22/2025  Brand Placements,1 Year 1/1/2025 thru 7/22/2025  Brd Placements(All),1 Year 1/1/2025 thru 7/22/2025  ROS per Acct,1 Year 1/1/2025 thru 7/22/2025  ROS per Placement,1 Year 1/1/2025 thru 7/22/2025  Pct Sold,1 Year 1/1/2025 thru 7/22/2025  Authorized Can Buys,1 Year 1/1/2025 thru 7/22/2025  Authorized Acct Gaps,1 Year 1/1/2025 thru 7/22/2025  Authorized Items,1 Year 1/1/2025 thru 7/22/2025  Total F.O.B.,1 Year 1/1/2025 thru 7/22/2025  Authorized Item Gaps,1 Year 1/1/2025 thru 7/22/2025  First Buy Date,1 Year 1/1/2025 thru 7/22/2025  Last Buy Date,1 Year 1/1/2025 thru 7/22/2025  Avg. F.O.B.,1 Year 1/1/2025 thru 7/22/2025  # Purchases,Diff  Case Equivs,Diff  Units Sold,Diff  Barrel Equivs,Diff  Net Price,Diff  Ave Unit Price,Diff  Did Buys,Diff  Did Buys(All Accts),Diff  Effective Placements,Diff  Effective(All Accts),Diff  Brand Placements,Diff  Brd Placements(All),Diff  ROS per Acct,Diff  ROS per Placement,Diff  Pct Sold,Diff  Authorized Can Buys,Diff  Authorized Acct Gaps,Diff  Authorized Items,Diff  Total F.O.B.,Diff  Authorized Item Gaps,Diff  Avg. F.O.B.,Diff  # Purchases,Pct  Case Equivs,Pct  Units Sold,Pct  Barrel Equivs,Pct  Net Price,Pct  Ave Unit Price,Pct  Did Buys,Pct  Did Buys(All Accts),Pct  Effective Placements,Pct  Effective(All Accts),Pct  Brand Placements,Pct  Brd Placements(All),Pct  ROS per Acct,Pct  ROS per Placement,Pct  Pct Sold,Pct  Authorized Can Buys,Pct  Authorized Acct Gaps,Pct  Authorized Items,Pct  Total F.O.B.,Pct  Authorized Item Gaps,Pct  Avg. F.O.B.,Pct  # Purchases
ON,THE OLYMPIC,2327 N MAIN ST,ROCKFORD,IL,61103,8159628758,,60694,20260722,1939 Amber 1/2 Barrel Keg,RESTAURANT,"RTE 36-STEVE V 036- Lamonica Beverages Inc., IL",75.777779,11,5.5,1870,170,1,1,1,1,1,1,75.777779,75.777779,1,0,0,0,1182.5,0,02/18/2026,05/29/2026,107.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,75.777779,11,5.5,1870,170,1,1,1,1,1,1,75.777779,75.777779,1,0,0,0,1182.5,0,107.5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,THE OLYMPIC,2327 N MAIN ST,ROCKFORD,IL,61103,8159628758,,60694,20260722,Easy Eddy 1/2 Barrel Keg,RESTAURANT,"RTE 36-STEVE V 036- Lamonica Beverages Inc., IL",20.666667,3,1.5,630,210,1,1,1,1,1,1,20.666667,20.666667,1,0,0,0,426.75,0,06/10/2026,07/01/2026,142.25,2,13.777778,2,1,420,210,1,1,1,1,1,1,13.777778,13.777778,1,0,0,0,0,0,01/07/2025,01/21/2025,0,2,6.888889,1,0.5,210,0,0,0,0,0,0,0,6.888889,6.888889,0,0,0,0,426.75,0,142.25,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0,1,0
ON,THE OLYMPIC,2327 N MAIN ST,ROCKFORD,IL,61103,8159628758,,60694,20260722,Special Batch 1/2 Barrel,RESTAURANT,"RTE 36-STEVE V 036- Lamonica Beverages Inc., IL",13.777778,2,1,340,170,1,1,1,1,1,1,13.777778,13.777778,1,0,0,0,215,0,03/04/2026,03/04/2026,107.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,13.777778,2,1,340,170,1,1,1,1,1,1,13.777778,13.777778,1,0,0,0,215,0,107.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,THE OLYMPIC,2327 N MAIN ST,ROCKFORD,IL,61103,8159628758,,60694,20260722,Arms Race Pale Ale 1/2 Barrel Keg,RESTAURANT,"RTE 36-STEVE V 036- Lamonica Beverages Inc., IL",13.777778,2,1,340,170,1,1,1,1,1,1,13.777778,13.777778,1,0,0,0,215,0,01/06/2026,02/18/2026,107.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,13.777778,2,1,340,170,1,1,1,1,1,1,13.777778,13.777778,1,0,0,0,215,0,107.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,THE OLYMPIC,2327 N MAIN ST,ROCKFORD,IL,61103,8159628758,,60694,20260722,Easy Eddy 4/6/12oz Can,RESTAURANT,"RTE 36-STEVE V 036- Lamonica Beverages Inc., IL",9,9,0.653227,324,36,1,1,1,1,1,1,9,9,1,0,0,0,225,0,01/06/2026,06/10/2026,25,6,3,3,0.217743,105,35,1,1,1,1,1,1,3,3,1,0,0,0,0,0,03/11/2025,07/08/2025,0,3,6,6,0.435484,219,1,0,0,0,0,0,0,6,6,0,0,0,0,225,0,25,3,2,2,1.99999081486,2.08571428571,0.028571428571,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,1
ON,THE OLYMPIC,2327 N MAIN ST,ROCKFORD,IL,61103,8159628758,,60694,20260722,Summer Jam 1/6 Barrel Keg,RESTAURANT,"RTE 36-STEVE V 036- Lamonica Beverages Inc., IL",6.88,3,0.499355,315,105,1,1,1,1,1,1,6.88,6.88,1,0,0,0,216,0,05/29/2026,05/29/2026,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,6.88,3,0.499355,315,105,1,1,1,1,1,1,6.88,6.88,1,0,0,0,216,0,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,THE OLYMPIC,2327 N MAIN ST,ROCKFORD,IL,61103,8159628758,,60694,20260722,Neighborhood Beer 4/6/12oz Can,RESTAURANT,"RTE 36-STEVE V 036- Lamonica Beverages Inc., IL",6,6,0.435486,180,30,1,1,1,1,1,1,6,6,1,0,0,0,123,0,01/06/2026,05/29/2026,20.5,6,1,1,0.072581,33,33,1,1,1,1,1,1,1,1,1,0,0,0,0,0,03/11/2025,03/11/2025,0,1,5,5,0.362905,147,-3,0,0,0,0,0,0,5,5,0,0,0,0,123,0,20.5,5,5,5,5,4.45454545455,-0.090909090909,0,0,0,0,0,0,5,5,0,0,0,0,1,0,1,5
ON,THE OLYMPIC,2327 N MAIN ST,ROCKFORD,IL,61103,8159628758,,60694,20260722,Zero Eddy 4/6/12oz Can,RESTAURANT,"RTE 36-STEVE V 036- Lamonica Beverages Inc., IL",5,5,0.362904,180,36,1,1,1,1,1,1,5,5,1,0,0,0,125,0,02/18/2026,04/30/2026,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,5,5,0.362904,180,36,1,1,1,1,1,1,5,5,1,0,0,0,125,0,25,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,THE OLYMPIC,2327 N MAIN ST,ROCKFORD,IL,61103,8159628758,,60694,20260722,Burch the Bear 1/6 Barrel,RESTAURANT,"RTE 36-STEVE V 036- Lamonica Beverages Inc., IL",4.586667,2,0.332903,174,87,1,1,1,1,1,1,4.586667,4.586667,1,0,0,0,93,0,01/21/2026,01/21/2026,46.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,4.586667,2,0.332903,174,87,1,1,1,1,1,1,4.586667,4.586667,1,0,0,0,93,0,46.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
