,,,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected
OnOff Premises,Account Names,Address,City,State,Zip Code,Phone,Store Num,VIP Outlet ID,Last KARMA entry,Item Names,Classes of Trade,Dist Routes,1 Year 1/1/2026 thru 7/19/2026  Case Equivs,1 Year 1/1/2026 thru 7/19/2026  Units Sold,1 Year 1/1/2026 thru 7/19/2026  Barrel Equivs,1 Year 1/1/2026 thru 7/19/2026  Net Price,1 Year 1/1/2026 thru 7/19/2026  Ave Unit Price,1 Year 1/1/2026 thru 7/19/2026  Did Buys,1 Year 1/1/2026 thru 7/19/2026  Did Buys(All Accts),1 Year 1/1/2026 thru 7/19/2026  Effective Placements,1 Year 1/1/2026 thru 7/19/2026  Effective(All Accts),1 Year 1/1/2026 thru 7/19/2026  Brand Placements,1 Year 1/1/2026 thru 7/19/2026  Brd Placements(All),1 Year 1/1/2026 thru 7/19/2026  ROS per Acct,1 Year 1/1/2026 thru 7/19/2026  ROS per Placement,1 Year 1/1/2026 thru 7/19/2026  Pct Sold,1 Year 1/1/2026 thru 7/19/2026  Authorized Can Buys,1 Year 1/1/2026 thru 7/19/2026  Authorized Acct Gaps,1 Year 1/1/2026 thru 7/19/2026  Authorized Items,1 Year 1/1/2026 thru 7/19/2026  Total F.O.B.,1 Year 1/1/2026 thru 7/19/2026  Authorized Item Gaps,1 Year 1/1/2026 thru 7/19/2026  First Buy Date,1 Year 1/1/2026 thru 7/19/2026  Last Buy Date,1 Year 1/1/2026 thru 7/19/2026  Avg. F.O.B.,1 Year 1/1/2026 thru 7/19/2026  # Purchases,1 Year 1/1/2025 thru 7/17/2025  Case Equivs,1 Year 1/1/2025 thru 7/17/2025  Units Sold,1 Year 1/1/2025 thru 7/17/2025  Barrel Equivs,1 Year 1/1/2025 thru 7/17/2025  Net Price,1 Year 1/1/2025 thru 7/17/2025  Ave Unit Price,1 Year 1/1/2025 thru 7/17/2025  Did Buys,1 Year 1/1/2025 thru 7/17/2025  Did Buys(All Accts),1 Year 1/1/2025 thru 7/17/2025  Effective Placements,1 Year 1/1/2025 thru 7/17/2025  Effective(All Accts),1 Year 1/1/2025 thru 7/17/2025  Brand Placements,1 Year 1/1/2025 thru 7/17/2025  Brd Placements(All),1 Year 1/1/2025 thru 7/17/2025  ROS per Acct,1 Year 1/1/2025 thru 7/17/2025  ROS per Placement,1 Year 1/1/2025 thru 7/17/2025  Pct Sold,1 Year 1/1/2025 thru 7/17/2025  Authorized Can Buys,1 Year 1/1/2025 thru 7/17/2025  Authorized Acct Gaps,1 Year 1/1/2025 thru 7/17/2025  Authorized Items,1 Year 1/1/2025 thru 7/17/2025  Total F.O.B.,1 Year 1/1/2025 thru 7/17/2025  Authorized Item Gaps,1 Year 1/1/2025 thru 7/17/2025  First Buy Date,1 Year 1/1/2025 thru 7/17/2025  Last Buy Date,1 Year 1/1/2025 thru 7/17/2025  Avg. F.O.B.,1 Year 1/1/2025 thru 7/17/2025  # Purchases,Diff  Case Equivs,Diff  Units Sold,Diff  Barrel Equivs,Diff  Net Price,Diff  Ave Unit Price,Diff  Did Buys,Diff  Did Buys(All Accts),Diff  Effective Placements,Diff  Effective(All Accts),Diff  Brand Placements,Diff  Brd Placements(All),Diff  ROS per Acct,Diff  ROS per Placement,Diff  Pct Sold,Diff  Authorized Can Buys,Diff  Authorized Acct Gaps,Diff  Authorized Items,Diff  Total F.O.B.,Diff  Authorized Item Gaps,Diff  Avg. F.O.B.,Diff  # Purchases,Pct  Case Equivs,Pct  Units Sold,Pct  Barrel Equivs,Pct  Net Price,Pct  Ave Unit Price,Pct  Did Buys,Pct  Did Buys(All Accts),Pct  Effective Placements,Pct  Effective(All Accts),Pct  Brand Placements,Pct  Brd Placements(All),Pct  ROS per Acct,Pct  ROS per Placement,Pct  Pct Sold,Pct  Authorized Can Buys,Pct  Authorized Acct Gaps,Pct  Authorized Items,Pct  Total F.O.B.,Pct  Authorized Item Gaps,Pct  Avg. F.O.B.,Pct  # Purchases
OFF,COSTCO WHOLESALE #1012,12300 W DODGE RD,OMAHA,NE,68154,4029523240,1012,2900776,20260422,Easy Eddy 1/24/12oz Can,WHOLESALE CLUB,"ALEX BERKA 2016- Quality Brands of Omaha, NE",400,400,29.032254,12800,32,1,1,1,1,1,1,400,400,1,0,0,0,10800,0,03/19/2026,04/23/2026,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,400,400,29.032254,12800,32,1,1,1,1,1,1,400,400,1,0,0,0,10800,0,27,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,COSTCO WHOLESALE #1012,12300 W DODGE RD,OMAHA,NE,68154,4029523240,1012,2900776,20260422,Citrus Surfer Variety Pack 2/12/12oz Can,WHOLESALE CLUB,"ALEX BERKA 2016- Quality Brands of Omaha, NE",200,200,14.51613,5800,29,1,1,1,1,1,1,200,200,1,0,0,0,4950,0,06/25/2026,06/25/2026,24.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,200,200,14.51613,5800,29,1,1,1,1,1,1,200,200,1,0,0,0,4950,0,24.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,COSTCO WHOLESALE #1237,12515 PORTSIDE PKWY,LA VISTA,NE,68128,4023787398,1237,3999728,20260422,Easy Eddy 1/24/12oz Can,WHOLESALE CLUB,"ALEX BERKA 2016- Quality Brands of Omaha, NE",400,400,29.032254,12800,32,1,1,1,1,1,1,400,400,1,0,0,0,10800,0,03/19/2026,04/30/2026,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,400,400,29.032254,12800,32,1,1,1,1,1,1,400,400,1,0,0,0,10800,0,27,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,COSTCO WHOLESALE #1237,12515 PORTSIDE PKWY,LA VISTA,NE,68128,4023787398,1237,3999728,20260422,Citrus Surfer Variety Pack 2/12/12oz Can,WHOLESALE CLUB,"ALEX BERKA 2016- Quality Brands of Omaha, NE",200,200,14.51613,5800,29,1,1,1,1,1,1,200,200,1,0,0,0,4950,0,06/26/2026,06/26/2026,24.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,200,200,14.51613,5800,29,1,1,1,1,1,1,200,200,1,0,0,0,4950,0,24.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,COSTCO WHOLESALE #1690,17701 EVANS ST,OMAHA,NE,68116,5314844259,1690,4749944,20260708,Easy Eddy 1/24/12oz Can,WHOLESALE CLUB,"ALEX BERKA 2016- Quality Brands of Omaha, NE",400,400,29.032249,12800,32,1,1,1,1,1,1,400,400,1,0,0,0,10800,0,03/19/2026,04/16/2026,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,400,400,29.032249,12800,32,1,1,1,1,1,1,400,400,1,0,0,0,10800,0,27,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,COSTCO WHOLESALE #1690,17701 EVANS ST,OMAHA,NE,68116,5314844259,1690,4749944,20260708,Citrus Surfer Variety Pack 2/12/12oz Can,WHOLESALE CLUB,"ALEX BERKA 2016- Quality Brands of Omaha, NE",200,200,14.51613,5800,29,1,1,1,1,1,1,200,200,1,0,0,0,4950,0,06/25/2026,06/25/2026,24.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,200,200,14.51613,5800,29,1,1,1,1,1,1,200,200,1,0,0,0,4950,0,24.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,COSTCO WHOLESALE #1285,1620 PINE LAKE RD,LINCOLN,NE,68512,5313337559,1285,4060752,20260506,Easy Eddy 1/24/12oz Can,WHOLESALE CLUB,"NICK DUTKIEWICZ 2022- Quality Brands of Lincoln, N",300,300,21.774185,9600,32,1,1,1,1,1,1,300,300,1,0,0,0,8100,0,03/25/2026,05/27/2026,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,300,300,21.774185,9600,32,1,1,1,1,1,1,300,300,1,0,0,0,8100,0,27,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,COSTCO WHOLESALE #1285,1620 PINE LAKE RD,LINCOLN,NE,68512,5313337559,1285,4060752,20260506,Citrus Surfer Variety Pack 2/12/12oz Can,WHOLESALE CLUB,"NICK DUTKIEWICZ 2022- Quality Brands of Lincoln, N",200,200,14.51613,5800,29,1,1,1,1,1,1,200,200,1,0,0,0,4950,0,06/24/2026,06/24/2026,24.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,200,200,14.51613,5800,29,1,1,1,1,1,1,200,200,1,0,0,0,4950,0,24.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
OFF,WINE BEER & SPIRITS,3435 OAK VIEW DR,OMAHA,NE,68144,4027047655,,4361752,20260716,Eddy Variety Pack 2/12/12oz Can,LIQUOR/PACKAGE STORE,"VINNIE KENNA 2014- Quality Brands of Omaha, NE",50,50,3.629031,1703.75,34.075,1,1,1,1,1,1,50,50,1,0,0,0,1350,0,01/29/2026,06/29/2026,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,50,50,3.629031,1703.75,34.075,1,1,1,1,1,1,50,50,1,0,0,0,1350,0,27,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
