,,,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected
OnOff Premises,Account Names,Address,City,State,Zip Code,Phone,Store Num,VIP Outlet ID,Last KARMA entry,Item Names,Classes of Trade,Dist Routes,1 Year 1/1/2026 thru 7/20/2026  Case Equivs,1 Year 1/1/2026 thru 7/20/2026  Units Sold,1 Year 1/1/2026 thru 7/20/2026  Barrel Equivs,1 Year 1/1/2026 thru 7/20/2026  Net Price,1 Year 1/1/2026 thru 7/20/2026  Ave Unit Price,1 Year 1/1/2026 thru 7/20/2026  Did Buys,1 Year 1/1/2026 thru 7/20/2026  Did Buys(All Accts),1 Year 1/1/2026 thru 7/20/2026  Effective Placements,1 Year 1/1/2026 thru 7/20/2026  Effective(All Accts),1 Year 1/1/2026 thru 7/20/2026  Brand Placements,1 Year 1/1/2026 thru 7/20/2026  Brd Placements(All),1 Year 1/1/2026 thru 7/20/2026  ROS per Acct,1 Year 1/1/2026 thru 7/20/2026  ROS per Placement,1 Year 1/1/2026 thru 7/20/2026  Pct Sold,1 Year 1/1/2026 thru 7/20/2026  Authorized Can Buys,1 Year 1/1/2026 thru 7/20/2026  Authorized Acct Gaps,1 Year 1/1/2026 thru 7/20/2026  Authorized Items,1 Year 1/1/2026 thru 7/20/2026  Total F.O.B.,1 Year 1/1/2026 thru 7/20/2026  Authorized Item Gaps,1 Year 1/1/2026 thru 7/20/2026  First Buy Date,1 Year 1/1/2026 thru 7/20/2026  Last Buy Date,1 Year 1/1/2026 thru 7/20/2026  Avg. F.O.B.,1 Year 1/1/2026 thru 7/20/2026  # Purchases,1 Year 1/1/2025 thru 7/18/2025  Case Equivs,1 Year 1/1/2025 thru 7/18/2025  Units Sold,1 Year 1/1/2025 thru 7/18/2025  Barrel Equivs,1 Year 1/1/2025 thru 7/18/2025  Net Price,1 Year 1/1/2025 thru 7/18/2025  Ave Unit Price,1 Year 1/1/2025 thru 7/18/2025  Did Buys,1 Year 1/1/2025 thru 7/18/2025  Did Buys(All Accts),1 Year 1/1/2025 thru 7/18/2025  Effective Placements,1 Year 1/1/2025 thru 7/18/2025  Effective(All Accts),1 Year 1/1/2025 thru 7/18/2025  Brand Placements,1 Year 1/1/2025 thru 7/18/2025  Brd Placements(All),1 Year 1/1/2025 thru 7/18/2025  ROS per Acct,1 Year 1/1/2025 thru 7/18/2025  ROS per Placement,1 Year 1/1/2025 thru 7/18/2025  Pct Sold,1 Year 1/1/2025 thru 7/18/2025  Authorized Can Buys,1 Year 1/1/2025 thru 7/18/2025  Authorized Acct Gaps,1 Year 1/1/2025 thru 7/18/2025  Authorized Items,1 Year 1/1/2025 thru 7/18/2025  Total F.O.B.,1 Year 1/1/2025 thru 7/18/2025  Authorized Item Gaps,1 Year 1/1/2025 thru 7/18/2025  First Buy Date,1 Year 1/1/2025 thru 7/18/2025  Last Buy Date,1 Year 1/1/2025 thru 7/18/2025  Avg. F.O.B.,1 Year 1/1/2025 thru 7/18/2025  # Purchases,Diff  Case Equivs,Diff  Units Sold,Diff  Barrel Equivs,Diff  Net Price,Diff  Ave Unit Price,Diff  Did Buys,Diff  Did Buys(All Accts),Diff  Effective Placements,Diff  Effective(All Accts),Diff  Brand Placements,Diff  Brd Placements(All),Diff  ROS per Acct,Diff  ROS per Placement,Diff  Pct Sold,Diff  Authorized Can Buys,Diff  Authorized Acct Gaps,Diff  Authorized Items,Diff  Total F.O.B.,Diff  Authorized Item Gaps,Diff  Avg. F.O.B.,Diff  # Purchases,Pct  Case Equivs,Pct  Units Sold,Pct  Barrel Equivs,Pct  Net Price,Pct  Ave Unit Price,Pct  Did Buys,Pct  Did Buys(All Accts),Pct  Effective Placements,Pct  Effective(All Accts),Pct  Brand Placements,Pct  Brd Placements(All),Pct  ROS per Acct,Pct  ROS per Placement,Pct  Pct Sold,Pct  Authorized Can Buys,Pct  Authorized Acct Gaps,Pct  Authorized Items,Pct  Total F.O.B.,Pct  Authorized Item Gaps,Pct  Avg. F.O.B.,Pct  # Purchases
ON,SCHMITYS TIMEOUT TAVERN,444 N CHESTNUT ST,LA CRESCENT,MN,55947,5078954239,,3666026,20260326,Easy Eddy 1/2 Barrel Keg,BAR/TAVERN,MARK WALTERS 018- Schott Distributing Co. - Roches,68.88889,10,5,2070,207,1,1,1,1,1,1,68.88889,68.88889,1,0,0,0,0,0,04/02/2026,07/16/2026,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,68.88889,10,5,2070,207,1,1,1,1,1,1,68.88889,68.88889,1,0,0,0,0,0,0,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,SCHMITYS TIMEOUT TAVERN,444 N CHESTNUT ST,LA CRESCENT,MN,55947,5078954239,,3666026,20260326,Easy Eddy 2/12/12oz Can,BAR/TAVERN,MARK WALTERS 018- Schott Distributing Co. - Roches,1,1,0.072581,36,36,1,1,1,1,1,1,1,1,1,0,0,0,0,0,07/09/2026,07/09/2026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,1,1,0.072581,36,36,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,DOUBLE TREE,1701 4TH ST NW,AUSTIN,MN,55912,5074331000,,4740521,20260429,Easy Eddy 1/2 Barrel Keg,HOTEL/ MOTEL,DUSTIN KOSKI 036- Schott Distributing Co. - Roches,34.444445,5,2.5,1050,210,1,1,1,1,1,1,34.444445,34.444445,1,0,0,0,0,0,05/06/2026,07/08/2026,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,34.444445,5,2.5,1050,210,1,1,1,1,1,1,34.444445,34.444445,1,0,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,DOUBLE TREE,1701 4TH ST NW,AUSTIN,MN,55912,5074331000,,4740521,20260429,Citrus Surfer 1/2 Barrel Keg,HOTEL/ MOTEL,DUSTIN KOSKI 036- Schott Distributing Co. - Roches,27.555556,4,2,668,167,1,1,1,1,1,1,27.555556,27.555556,1,0,0,0,440,0,04/01/2026,06/24/2026,110,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,27.555556,4,2,668,167,1,1,1,1,1,1,27.555556,27.555556,1,0,0,0,440,0,110,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,CANADIAN HONKER RESTAURAN,1239 2ND ST SW,ROCHESTER,MN,55902,5072826572,,2526771,20260429,Easy Eddy 1/2 Barrel Keg,RESTAURANT,AARON KELLEY 007- Schott Distributing Co. - Roches,41.333334,6,3,1260,210,1,1,1,1,1,1,41.333334,41.333334,1,0,0,0,0,0,04/10/2026,07/03/2026,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,41.333334,6,3,1260,210,1,1,1,1,1,1,41.333334,41.333334,1,0,0,0,0,0,0,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,CANADIAN HONKER RESTAURAN,1239 2ND ST SW,ROCHESTER,MN,55902,5072826572,,2526771,20260429,Citrus Surfer 1/6 Barrel Keg,RESTAURANT,AARON KELLEY 007- Schott Distributing Co. - Roches,18.346665,8,1.331615,584,73,1,1,1,1,1,1,18.346665,18.346665,1,0,0,0,384,0,04/10/2026,07/10/2026,48,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,18.346665,8,1.331615,584,73,1,1,1,1,1,1,18.346665,18.346665,1,0,0,0,384,0,48,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,NEWTS 52 INC,5231 E FRONTAGE RD NW,ROCHESTER,MN,55901,5072803890,,3291806,20260326,Easy Eddy 1/2 Barrel Keg,RESTAURANT,ERIC SCHMELING 038- Schott Distributing Co. - Roch,55.111112,8,4,1670,208.75,1,1,1,1,1,1,55.111112,55.111112,1,0,0,0,0,0,03/27/2026,07/10/2026,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,55.111112,8,4,1670,208.75,1,1,1,1,1,1,55.111112,55.111112,1,0,0,0,0,0,0,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,WHISTLE BINKIES ON THE LAKE,247 WOODLAKE DR SE,ROCHESTER,MN,55904,5074241227,,2892775,0,Easy Eddy 1/2 Barrel Keg,RESTAURANT,ERIC SCHMELING 038- Schott Distributing Co. - Roch,48.222223,7,3.5,1410,201.42857142857,1,1,1,1,1,1,48.222223,48.222223,1,0,0,0,0,0,03/25/2026,07/15/2026,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,48.222223,7,3.5,1410,201.42857142857,1,1,1,1,1,1,48.222223,48.222223,1,0,0,0,0,0,0,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,WHISTLE BINKIES ON THE LAKE,247 WOODLAKE DR SE,ROCHESTER,MN,55904,5074241227,,2892775,0,Citrus Surfer 1/6 Barrel Keg,RESTAURANT,ERIC SCHMELING 038- Schott Distributing Co. - Roch,2.293333,1,0.166452,73,73,1,1,1,1,1,1,2.293333,2.293333,1,0,0,0,48,0,03/25/2026,03/25/2026,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,2.293333,1,0.166452,73,73,1,1,1,1,1,1,2.293333,2.293333,1,0,0,0,48,0,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
