,,,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected
OnOff Premises,Account Names,Address,City,State,Zip Code,Phone,Store Num,VIP Outlet ID,Last KARMA entry,Item Names,Classes of Trade,Dist Routes,1 Year 1/1/2026 thru 7/20/2026  Case Equivs,1 Year 1/1/2026 thru 7/20/2026  Units Sold,1 Year 1/1/2026 thru 7/20/2026  Barrel Equivs,1 Year 1/1/2026 thru 7/20/2026  Net Price,1 Year 1/1/2026 thru 7/20/2026  Ave Unit Price,1 Year 1/1/2026 thru 7/20/2026  Did Buys,1 Year 1/1/2026 thru 7/20/2026  Did Buys(All Accts),1 Year 1/1/2026 thru 7/20/2026  Effective Placements,1 Year 1/1/2026 thru 7/20/2026  Effective(All Accts),1 Year 1/1/2026 thru 7/20/2026  Brand Placements,1 Year 1/1/2026 thru 7/20/2026  Brd Placements(All),1 Year 1/1/2026 thru 7/20/2026  ROS per Acct,1 Year 1/1/2026 thru 7/20/2026  ROS per Placement,1 Year 1/1/2026 thru 7/20/2026  Pct Sold,1 Year 1/1/2026 thru 7/20/2026  Authorized Can Buys,1 Year 1/1/2026 thru 7/20/2026  Authorized Acct Gaps,1 Year 1/1/2026 thru 7/20/2026  Authorized Items,1 Year 1/1/2026 thru 7/20/2026  Total F.O.B.,1 Year 1/1/2026 thru 7/20/2026  Authorized Item Gaps,1 Year 1/1/2026 thru 7/20/2026  First Buy Date,1 Year 1/1/2026 thru 7/20/2026  Last Buy Date,1 Year 1/1/2026 thru 7/20/2026  Avg. F.O.B.,1 Year 1/1/2026 thru 7/20/2026  # Purchases,1 Year 1/1/2025 thru 7/18/2025  Case Equivs,1 Year 1/1/2025 thru 7/18/2025  Units Sold,1 Year 1/1/2025 thru 7/18/2025  Barrel Equivs,1 Year 1/1/2025 thru 7/18/2025  Net Price,1 Year 1/1/2025 thru 7/18/2025  Ave Unit Price,1 Year 1/1/2025 thru 7/18/2025  Did Buys,1 Year 1/1/2025 thru 7/18/2025  Did Buys(All Accts),1 Year 1/1/2025 thru 7/18/2025  Effective Placements,1 Year 1/1/2025 thru 7/18/2025  Effective(All Accts),1 Year 1/1/2025 thru 7/18/2025  Brand Placements,1 Year 1/1/2025 thru 7/18/2025  Brd Placements(All),1 Year 1/1/2025 thru 7/18/2025  ROS per Acct,1 Year 1/1/2025 thru 7/18/2025  ROS per Placement,1 Year 1/1/2025 thru 7/18/2025  Pct Sold,1 Year 1/1/2025 thru 7/18/2025  Authorized Can Buys,1 Year 1/1/2025 thru 7/18/2025  Authorized Acct Gaps,1 Year 1/1/2025 thru 7/18/2025  Authorized Items,1 Year 1/1/2025 thru 7/18/2025  Total F.O.B.,1 Year 1/1/2025 thru 7/18/2025  Authorized Item Gaps,1 Year 1/1/2025 thru 7/18/2025  First Buy Date,1 Year 1/1/2025 thru 7/18/2025  Last Buy Date,1 Year 1/1/2025 thru 7/18/2025  Avg. F.O.B.,1 Year 1/1/2025 thru 7/18/2025  # Purchases,Diff  Case Equivs,Diff  Units Sold,Diff  Barrel Equivs,Diff  Net Price,Diff  Ave Unit Price,Diff  Did Buys,Diff  Did Buys(All Accts),Diff  Effective Placements,Diff  Effective(All Accts),Diff  Brand Placements,Diff  Brd Placements(All),Diff  ROS per Acct,Diff  ROS per Placement,Diff  Pct Sold,Diff  Authorized Can Buys,Diff  Authorized Acct Gaps,Diff  Authorized Items,Diff  Total F.O.B.,Diff  Authorized Item Gaps,Diff  Avg. F.O.B.,Diff  # Purchases,Pct  Case Equivs,Pct  Units Sold,Pct  Barrel Equivs,Pct  Net Price,Pct  Ave Unit Price,Pct  Did Buys,Pct  Did Buys(All Accts),Pct  Effective Placements,Pct  Effective(All Accts),Pct  Brand Placements,Pct  Brd Placements(All),Pct  ROS per Acct,Pct  ROS per Placement,Pct  Pct Sold,Pct  Authorized Can Buys,Pct  Authorized Acct Gaps,Pct  Authorized Items,Pct  Total F.O.B.,Pct  Authorized Item Gaps,Pct  Avg. F.O.B.,Pct  # Purchases
ON,FYRE LAKE GOLF CLUB,1057 FAIRWAY LN,SHERRARD,IL,61281,3097499044,,4853226,0,Citrus Surfer 6/4/16oz Can,RECREATION/ ENTERTAINMENT,"S. JOHN 020- Stern Beverage, IL",59.999999,45,4.354839,2025,45,1,1,1,1,1,1,59.999999,59.999999,1,0,0,0,1406.25,0,04/02/2026,07/09/2026,31.25,3,18.666666,14,1.354838,630,45,1,1,1,1,1,1,18.666666,18.666666,1,0,0,0,0,0,03/27/2025,07/17/2025,0,7,41.333333,31,3.000001,1395,0,0,0,0,0,0,0,41.333333,41.333333,0,0,0,0,1406.25,0,31.25,-4,2.21428577551,2.214285714286,2.214287612246,2.21428571429,0,0,0,0,0,0,0,2.21428577551,2.21428577551,0,0,0,0,1,0,1,-0.571429
ON,FYRE LAKE GOLF CLUB,1057 FAIRWAY LN,SHERRARD,IL,61281,3097499044,,4853226,0,Easy Eddy 6/4/16oz Can,RECREATION/ ENTERTAINMENT,"S. JOHN 020- Stern Beverage, IL",59.999999,45,4.354839,2227.5,49.5,1,1,1,1,1,1,59.999999,59.999999,1,0,0,0,0,0,04/02/2026,07/09/2026,0,3,20,15,1.451612,742.5,49.5,1,1,1,1,1,1,20,20,1,0,0,0,0,0,03/27/2025,07/17/2025,0,7,39.999999,30,2.903227,1485,0,0,0,0,0,0,0,39.999999,39.999999,0,0,0,0,0,0,0,-4,1.99999995,2,2.000002066668,2,0,0,0,0,0,0,0,1.99999995,1.99999995,0,0,0,0,0,0,0,-0.571429
ON,FYRE LAKE GOLF CLUB,1057 FAIRWAY LN,SHERRARD,IL,61281,3097499044,,4853226,0,Neighborhood Beer 6/4/16oz Can,RECREATION/ ENTERTAINMENT,"S. JOHN 020- Stern Beverage, IL",55.999999,42,4.064516,1386,33,1,1,1,1,1,1,55.999999,55.999999,1,0,0,0,1312.5,0,04/02/2026,06/11/2026,31.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,55.999999,42,4.064516,1386,33,1,1,1,1,1,1,55.999999,55.999999,1,0,0,0,1312.5,0,31.25,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,GENESEO BREWING CO,102 S STATE ST,GENESEO,IL,61254,3099451422,,4237860,0,Easy Eddy 1/2 Barrel Keg,TASTING ROOM,"M. BALTISBERGE 033- Stern Beverage, IL",110.222224,16,8,3360,210,1,1,1,1,1,1,110.222224,110.222224,1,0,0,0,0,0,01/13/2026,06/30/2026,0,15,137.77778,20,10,4200,210,1,1,1,1,1,1,137.77778,137.77778,1,0,0,0,0,0,01/03/2025,07/08/2025,0,20,-27.555556,-4,-2,-840,0,0,0,0,0,0,0,-27.555556,-27.555556,0,0,0,0,0,0,0,-5,-0.2,-0.2,-0.2,-0.2,0,0,0,0,0,0,0,-0.2,-0.2,0,0,0,0,0,0,0,-0.25
ON,GENESEO BREWING CO,102 S STATE ST,GENESEO,IL,61254,3099451422,,4237860,0,Wild Eddy 1/6 Barrel Keg,TASTING ROOM,"M. BALTISBERGE 033- Stern Beverage, IL",11.466666,5,0.832259,450,90,1,1,1,1,1,1,11.466666,11.466666,1,0,0,0,0,0,03/31/2026,04/28/2026,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,11.466666,5,0.832259,450,90,1,1,1,1,1,1,11.466666,11.466666,1,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,GENESEO BREWING CO,102 S STATE ST,GENESEO,IL,61254,3099451422,,4237860,0,Easy Eddy 1/6 Barrel Keg,TASTING ROOM,"M. BALTISBERGE 033- Stern Beverage, IL",6.88,3,0.499355,270,90,1,1,1,1,1,1,6.88,6.88,1,0,0,0,0,0,07/14/2026,07/14/2026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,6.88,3,0.499355,270,90,1,1,1,1,1,1,6.88,6.88,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,GENESEO BREWING CO,102 S STATE ST,GENESEO,IL,61254,3099451422,,4237860,0,Easy Eddy 2/12/12oz Can,TASTING ROOM,"M. BALTISBERGE 033- Stern Beverage, IL",6,6,0.435484,216,36,1,1,1,1,1,1,6,6,1,0,0,0,150,0,04/21/2026,04/28/2026,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,6,6,0.435484,216,36,1,1,1,1,1,1,6,6,1,0,0,0,150,0,25,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,GENESEO BREWING CO,102 S STATE ST,GENESEO,IL,61254,3099451422,,4237860,0,Double Blackberry 1/6 Barrel Keg,TASTING ROOM,"M. BALTISBERGE 033- Stern Beverage, IL",2.293333,1,0.166452,105,105,1,1,1,1,1,1,2.293333,2.293333,1,0,0,0,0,0,02/10/2026,02/10/2026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,2.293333,1,0.166452,105,105,1,1,1,1,1,1,2.293333,2.293333,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,GENESEO BREWING CO,102 S STATE ST,GENESEO,IL,61254,3099451422,,4237860,0,1939 Amber 1/6 Barrel Keg,TASTING ROOM,"M. BALTISBERGE 033- Stern Beverage, IL",2.293333,1,0.166452,70,70,1,1,1,1,1,1,2.293333,2.293333,1,0,0,0,47.75,0,06/23/2026,06/23/2026,47.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,2.293333,1,0.166452,70,70,1,1,1,1,1,1,2.293333,2.293333,1,0,0,0,47.75,0,47.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
