,,,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected
OnOff Premises,Account Names,Address,City,State,Zip Code,Phone,Store Num,VIP Outlet ID,Last KARMA entry,Item Names,Classes of Trade,Dist Routes,1 Year 1/1/2026 thru 7/21/2026  Case Equivs,1 Year 1/1/2026 thru 7/21/2026  Units Sold,1 Year 1/1/2026 thru 7/21/2026  Barrel Equivs,1 Year 1/1/2026 thru 7/21/2026  Net Price,1 Year 1/1/2026 thru 7/21/2026  Ave Unit Price,1 Year 1/1/2026 thru 7/21/2026  Did Buys,1 Year 1/1/2026 thru 7/21/2026  Did Buys(All Accts),1 Year 1/1/2026 thru 7/21/2026  Effective Placements,1 Year 1/1/2026 thru 7/21/2026  Effective(All Accts),1 Year 1/1/2026 thru 7/21/2026  Brand Placements,1 Year 1/1/2026 thru 7/21/2026  Brd Placements(All),1 Year 1/1/2026 thru 7/21/2026  ROS per Acct,1 Year 1/1/2026 thru 7/21/2026  ROS per Placement,1 Year 1/1/2026 thru 7/21/2026  Pct Sold,1 Year 1/1/2026 thru 7/21/2026  Authorized Can Buys,1 Year 1/1/2026 thru 7/21/2026  Authorized Acct Gaps,1 Year 1/1/2026 thru 7/21/2026  Authorized Items,1 Year 1/1/2026 thru 7/21/2026  Total F.O.B.,1 Year 1/1/2026 thru 7/21/2026  Authorized Item Gaps,1 Year 1/1/2026 thru 7/21/2026  First Buy Date,1 Year 1/1/2026 thru 7/21/2026  Last Buy Date,1 Year 1/1/2026 thru 7/21/2026  Avg. F.O.B.,1 Year 1/1/2026 thru 7/21/2026  # Purchases,1 Year 1/1/2025 thru 7/21/2025  Case Equivs,1 Year 1/1/2025 thru 7/21/2025  Units Sold,1 Year 1/1/2025 thru 7/21/2025  Barrel Equivs,1 Year 1/1/2025 thru 7/21/2025  Net Price,1 Year 1/1/2025 thru 7/21/2025  Ave Unit Price,1 Year 1/1/2025 thru 7/21/2025  Did Buys,1 Year 1/1/2025 thru 7/21/2025  Did Buys(All Accts),1 Year 1/1/2025 thru 7/21/2025  Effective Placements,1 Year 1/1/2025 thru 7/21/2025  Effective(All Accts),1 Year 1/1/2025 thru 7/21/2025  Brand Placements,1 Year 1/1/2025 thru 7/21/2025  Brd Placements(All),1 Year 1/1/2025 thru 7/21/2025  ROS per Acct,1 Year 1/1/2025 thru 7/21/2025  ROS per Placement,1 Year 1/1/2025 thru 7/21/2025  Pct Sold,1 Year 1/1/2025 thru 7/21/2025  Authorized Can Buys,1 Year 1/1/2025 thru 7/21/2025  Authorized Acct Gaps,1 Year 1/1/2025 thru 7/21/2025  Authorized Items,1 Year 1/1/2025 thru 7/21/2025  Total F.O.B.,1 Year 1/1/2025 thru 7/21/2025  Authorized Item Gaps,1 Year 1/1/2025 thru 7/21/2025  First Buy Date,1 Year 1/1/2025 thru 7/21/2025  Last Buy Date,1 Year 1/1/2025 thru 7/21/2025  Avg. F.O.B.,1 Year 1/1/2025 thru 7/21/2025  # Purchases,Diff  Case Equivs,Diff  Units Sold,Diff  Barrel Equivs,Diff  Net Price,Diff  Ave Unit Price,Diff  Did Buys,Diff  Did Buys(All Accts),Diff  Effective Placements,Diff  Effective(All Accts),Diff  Brand Placements,Diff  Brd Placements(All),Diff  ROS per Acct,Diff  ROS per Placement,Diff  Pct Sold,Diff  Authorized Can Buys,Diff  Authorized Acct Gaps,Diff  Authorized Items,Diff  Total F.O.B.,Diff  Authorized Item Gaps,Diff  Avg. F.O.B.,Diff  # Purchases,Pct  Case Equivs,Pct  Units Sold,Pct  Barrel Equivs,Pct  Net Price,Pct  Ave Unit Price,Pct  Did Buys,Pct  Did Buys(All Accts),Pct  Effective Placements,Pct  Effective(All Accts),Pct  Brand Placements,Pct  Brd Placements(All),Pct  ROS per Acct,Pct  ROS per Placement,Pct  Pct Sold,Pct  Authorized Can Buys,Pct  Authorized Acct Gaps,Pct  Authorized Items,Pct  Total F.O.B.,Pct  Authorized Item Gaps,Pct  Avg. F.O.B.,Pct  # Purchases
ON,NATTSPIL,211 KING ST,MADISON,WI,53703,6083452748,,2706606,20260331,Neighborhood Beer 1/2 Barrel Keg,BAR/TAVERN,SAWYER BARRON 63- Wisconsin Distributors - Sun Pra,55.111112,8,4,1080,135,1,1,1,1,1,1,55.111112,55.111112,1,0,0,0,760,0,03/19/2026,07/09/2026,95,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,55.111112,8,4,1080,135,1,1,1,1,1,1,55.111112,55.111112,1,0,0,0,760,0,95,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,NATTSPIL,211 KING ST,MADISON,WI,53703,6083452748,,2706606,20260331,Easy Eddy 1/2 Barrel Keg,BAR/TAVERN,SAWYER BARRON 63- Wisconsin Distributors - Sun Pra,13.777778,2,1,380,190,1,1,1,1,1,1,13.777778,13.777778,1,0,0,0,266,0,01/15/2026,01/30/2026,133,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,13.777778,2,1,380,190,1,1,1,1,1,1,13.777778,13.777778,1,0,0,0,266,0,133,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,NATTSPIL,211 KING ST,MADISON,WI,53703,6083452748,,2706606,20260331,Citrus Surfer 1/6 Barrel Keg,BAR/TAVERN,SAWYER BARRON 63- Wisconsin Distributors - Sun Pra,2.293333,1,0.166452,60,60,1,1,1,1,1,1,2.293333,2.293333,1,0,0,0,42,0,01/22/2026,01/22/2026,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,2.293333,1,0.166452,60,60,1,1,1,1,1,1,2.293333,2.293333,1,0,0,0,42,0,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,THE WISCO,852 WILLIAMSON ST,MADISON,WI,53703,6082568211,,2718705,20260703,Citrus Surfer 1/2 Barrel Keg,BAR/TAVERN,SAWYER BARRON 63- Wisconsin Distributors - Sun Pra,27.555556,4,2,640,160,1,1,1,1,1,1,27.555556,27.555556,1,0,0,0,448,0,03/24/2026,06/30/2026,112,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,27.555556,4,2,640,160,1,1,1,1,1,1,27.555556,27.555556,1,0,0,0,448,0,112,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,THE WISCO,852 WILLIAMSON ST,MADISON,WI,53703,6082568211,,2718705,20260703,Easy Eddy 1/2 Barrel Keg,BAR/TAVERN,SAWYER BARRON 63- Wisconsin Distributors - Sun Pra,20.666667,3,1.5,570,190,1,1,1,1,1,1,20.666667,20.666667,1,0,0,0,399,0,07/03/2026,07/14/2026,133,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,20.666667,3,1.5,570,190,1,1,1,1,1,1,20.666667,20.666667,1,0,0,0,399,0,133,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,THE WISCO,852 WILLIAMSON ST,MADISON,WI,53703,6082568211,,2718705,20260703,Neighborhood Beer 1/2 Barrel Keg,BAR/TAVERN,SAWYER BARRON 63- Wisconsin Distributors - Sun Pra,13.777778,2,1,270,135,1,1,1,1,1,1,13.777778,13.777778,1,0,0,0,190,0,07/03/2026,07/14/2026,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,13.777778,2,1,270,135,1,1,1,1,1,1,13.777778,13.777778,1,0,0,0,190,0,95,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,THE WISCO,852 WILLIAMSON ST,MADISON,WI,53703,6082568211,,2718705,20260703,Rainbow Connection 1/6 Barrel Keg,BAR/TAVERN,SAWYER BARRON 63- Wisconsin Distributors - Sun Pra,2.222222,1,0.16129,90,90,1,1,1,1,1,1,2.222222,2.222222,1,0,0,0,0,0,06/23/2026,06/23/2026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,2.222222,1,0.16129,90,90,1,1,1,1,1,1,2.222222,2.222222,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
ON,STEVES PIZZA PALACE,175 W MAIN ST,PLATTEVILLE,WI,53818,6083483136,,2896546,20260423,Easy Eddy 1/2 Barrel Keg,RESTAURANT,JOSHUA SWENSON 7- Wisconsin Distributors - Sun Pra,34.444445,5,2.5,950,190,1,1,1,1,1,1,34.444445,34.444445,1,0,0,0,665,0,01/30/2026,05/08/2026,133,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,34.444445,5,2.5,950,190,1,1,1,1,1,1,34.444445,34.444445,1,0,0,0,665,0,133,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
ON,STEVES PIZZA PALACE,175 W MAIN ST,PLATTEVILLE,WI,53818,6083483136,,2896546,20260423,Citrus Surfer 1/2 Barrel Keg,RESTAURANT,JOSHUA SWENSON 7- Wisconsin Distributors - Sun Pra,13.777778,2,1,320,160,1,1,1,1,1,1,13.777778,13.777778,1,0,0,0,224,0,01/30/2026,03/20/2026,112,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/0001,01/01/0001,0,0,13.777778,2,1,320,160,1,1,1,1,1,1,13.777778,13.777778,1,0,0,0,224,0,112,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
