Distributors,OnOff Premises,1 Year 1/1/2026 thru 7/7/2026 Case Equivs,Did Buys TY 90 Days 4/9/2026 thru 7/7/2026,Can Buy,Pct Sold TY 90 Days 4/9/2026 thru 7/7/2026
"Lamonica Beverages Inc., IL",ON,2071.946602,76,571,0.1330998249
"Lamonica Beverages Inc., IL",OFF,661.666664,34,386,0.08808290155
"Lamonica Beverages Inc., IL",NA,0,0,2,0
"G&M Distributors - Dixon, IL",OFF,456.626673,59,231,0.2554112554
"G&M Distributors - Dixon, IL",ON,216.39554,34,460,0.07391304348
"G&M Distributors - Dixon, IL",NA,0,0,2,0
"Brewers Distributing Inc., IL",ON,431.648881,18,600,0.03
"Brewers Distributing Inc., IL",OFF,198.026666,31,315,0.09841269841
"Brewers Distributing Inc., IL",NA,1,1,2,0.5
"G&M Distributors - Galesburg, IL",OFF,341.022222,38,177,0.2146892655
"G&M Distributors - Galesburg, IL",ON,137.973322,25,316,0.07911392405
"G&M Distributors - Galesburg, IL",NA,0,0,2,0


