Distributors,OnOff Premises,1 Year 1/1/2026 thru 7/7/2026 Case Equivs,Did Buys TY 90 Days 4/9/2026 thru 7/7/2026,Can Buy,Pct Sold TY 90 Days 4/9/2026 thru 7/7/2026
"Wisconsin Distributors - Sun Prairie, WI",ON,1912.576036,141,2956,0.04769959405
"Wisconsin Distributors - Sun Prairie, WI",OFF,707.765555,89,1750,0.05085714286
"Wisconsin Distributors - Sun Prairie, WI",NA,0,0,2,0
"Dean Distributing Inc., WI",ON,1336.0355,113,1749,0.06460834763
"Dean Distributing Inc., WI",OFF,491,80,638,0.1253918495
"Dean Distributing Inc., WI",NA,2.293333,1,3,0.3333333333
"Wisconsin Distributors - Appleton, WI",ON,504.466637,37,1090,0.03394495413
"Wisconsin Distributors - Appleton, WI",OFF,100.043333,22,450,0.04888888889
"Wisconsin Distributors - Appleton, WI",NA,2,1,2,0.5


