Distributors,OnOff Premises,1 Year 1/1/2026 thru 7/7/2026 Case Equivs,Did Buys TY 90 Days 4/9/2026 thru 7/7/2026,Can Buy,Pct Sold TY 90 Days 4/9/2026 thru 7/7/2026
"7G - Cedar Rapids, IA",OFF,16476.906623,177,287,0.6167247387
"7G - Cedar Rapids, IA",ON,15573.83992,232,413,0.5617433414
"7G - Cedar Rapids, IA",NA,6.666667,1,1,1
"7G - Dubuque, IA",OFF,4007.955541,98,168,0.5833333333
"7G - Dubuque, IA",ON,3485.288781,114,295,0.386440678
"7G - Dubuque, IA",NA,0,0,2,0
"Fahr Bev - Waterloo, IA",OFF,3999.65777,103,189,0.544973545
"Fahr Bev - Waterloo, IA",ON,3081.804392,102,286,0.3566433566
"Fahr Bev - Waterloo, IA",NA,13.759998,1,2,0.5
"Kabrick Dist, IA",OFF,1282.546658,57,128,0.4453125
"Kabrick Dist, IA",ON,901.426615,57,216,0.2638888889
"Kabrick Dist, IA",NA,1,1,2,0.5
"Fahr Bev - West Union, IA",OFF,1043.8,66,106,0.6226415094
"Fahr Bev - West Union, IA",ON,935.906617,57,185,0.3081081081
"Fahr Bev - West Union, IA",NA,0,0,2,0
"Stern Beverage, IL",ON,931.782192,44,184,0.2391304348
"Stern Beverage, IL",OFF,920.373332,29,87,0.3333333333
"Stern Beverage, IL",NA,0,0,1,0


