Distributors,OnOff Premises,1 Year 1/1/2026 thru 7/7/2026 Case Equivs,Did Buys TY 90 Days 4/9/2026 thru 7/7/2026,Can Buy,Pct Sold TY 90 Days 4/9/2026 thru 7/7/2026
"Doll Dist - Des Moines, IA",ON,11204.657568,230,398,0.5778894472
"Doll Dist - Des Moines, IA",OFF,10032.85776,142,201,0.7064676617
"Doll Dist - Spencer, IA",OFF,2623.782218,124,248,0.5
"Doll Dist - Spencer, IA",ON,2621.084374,89,377,0.2360742706
"Doll Dist - Spencer, IA",NA,8,1,1,1
"Doll Dist - Council Bluffs, IA",OFF,1408.733333,86,209,0.4114832536
"Doll Dist - Council Bluffs, IA",ON,612.542172,40,310,0.1290322581
"Doll Dist - Council Bluffs, IA",NA,0,0,1,0
"Doll Distributing - Worthington, MN",OFF,0,0,1,0


