,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected
Dist Companies,OnOff Premises,Chains,Account Names,Address,City,State,Zip Code,Store Num,Last KARMA entry,Item Names,3 Months 5/1/2026 thru 7/16/2026  Case Equivs,3 Months 5/1/2026 thru 7/16/2026  Authorized Item Gaps,3 Months 5/1/2026 thru 7/16/2026  Authorized Acct Gaps
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1085,3285 CROSSPARK RD,CORALVILLE,IA,52241,1085,20260525,Tigerhawk 2/12/12oz Can,215,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1085,3285 CROSSPARK RD,CORALVILLE,IA,52241,1085,20260525,Tigerhawk 1/24/12oz Can,85,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1085,3285 CROSSPARK RD,CORALVILLE,IA,52241,1085,20260525,Tigerhawk 4/6/16oz Can,20,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1288,1125 N DODGE ST,IOWA CITY,IA,52245,1288,20260504,Tigerhawk 2/12/12oz Can,140,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1288,1125 N DODGE ST,IOWA CITY,IA,52245,1288,20260504,Tigerhawk 4/6/16oz Can,6.666666,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1080,1914 8TH ST,CORALVILLE,IA,52241,1080,20260504,Tigerhawk 2/12/12oz Can,109,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1080,1914 8TH ST,CORALVILLE,IA,52241,1080,20260504,Tigerhawk 4/6/16oz Can,6.666667,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1064,5050 EDGEWOOD RD NE,CEDAR RAPIDS,IA,52411,1064,20260629,Tigerhawk 2/12/12oz Can,100,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1064,5050 EDGEWOOD RD NE,CEDAR RAPIDS,IA,52411,1064,20260629,Tigerhawk 4/6/16oz Can,9.333334,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1064,5050 EDGEWOOD RD NE,CEDAR RAPIDS,IA,52411,1064,20260629,Tigerhawk 1/6 Barrel Keg,4.586666,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1281,1720 WATERFRONT DR,IOWA CITY,IA,52240,1281,20260512,Tigerhawk 2/12/12oz Can,100,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1281,1720 WATERFRONT DR,IOWA CITY,IA,52240,1281,20260512,Tigerhawk 4/6/16oz Can,7.999999,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1108,4064 E 53RD ST,DAVENPORT,IA,52807,1108,20260508,Tigerhawk 2/12/12oz Can,82,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1108,4064 E 53RD ST,DAVENPORT,IA,52807,1108,20260508,Tigerhawk 4/6/16oz Can,3.999999,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1396,3600 BUSINESS HWY 151 E,MARION,IA,52302,1396,20260706,Tigerhawk 2/12/12oz Can,68,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1160,2395 NW ARTERIAL,DUBUQUE,IA,52002,1160,20260428,Tigerhawk 2/12/12oz Can,60,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1160,2395 NW ARTERIAL,DUBUQUE,IA,52002,1160,20260428,Tigerhawk 4/6/16oz Can,4,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1037,2900 DEVILS GLEN RD,BETTENDORF,IA,52722,1037,20260521,Tigerhawk 2/12/12oz Can,57,0,0
